Gene,Category,VDR_score,GR_score,GR_minus_VDR,Source
DUSP1,NegReg,13.69,127.44,113.75,innate
TNFAIP3,NegReg,5.71,126.47,120.76,innate
TLR2,TLR,11.37,56.14,44.77,innate
AQP4,NMOSD-Ag,23.44,33.4,9.959999999999997,cns
IL1B,Effector,7.58,24.1,16.520000000000003,innate
MBP,Myelin-Ag,22.62,24.05,1.4299999999999997,cns
TLR5,TLR,12.91,23.22,10.309999999999999,innate
NFKBIA,Effector,14.58,20.09,5.51,innate
CLEC4E,CLR,0.0,14.97,14.97,innate
NFE2L2,MS-metabolic,5.5,13.92,8.42,cns
TLR6,TLR,8.46,12.25,3.789999999999999,innate
TLR4,TLR,6.61,12.19,5.579999999999999,innate
CLEC7A,CLR,0.0,11.23,11.23,innate
MYD88,Adaptor,6.53,7.71,1.1799999999999997,innate
TRAF6,Adaptor,0.0,7.04,7.04,innate
