Gene,Drug,VDR_THP1,Organoid_A,Organoid_B,Flag
IL23A,risankizumab,211.05,0.0,0.0,
CD274,irAE,186.2,0.0,0.0,
TNF,infliximab,155.61,0.0,0.0,
TYK2,deucravacitinib,79.1,0.0,0.0,
ITGB7,vedolizumab,62.27,0.0,0.0,
CIITA,(MHC-II),57.04,0.0,0.0,
NLRC4,(inflammasome),49.05,0.0,0.0,
IL10,(anti-inflam),48.06,0.0,0.0,
IL17RA,(receptor),46.03,0.0,0.0,
LAG3,irAE,45.93,0.0,0.0,
NOD2,(innate),40.57,0.0,0.0,
PDCD1,irAE,26.08,0.0,0.0,
CAMP,VDR ctrl,15.54,0.0,0.0,
DUSP1,GR ctrl,13.69,0.0,0.0,
TLR10,(innate),13.17,0.0,0.0,
MADCAM1,ontamalimab,13.12,0.0,0.0,
STAT3,(JAK-STAT),11.07,0.0,0.0,
TNFAIP3,GR ctrl,5.71,0.0,0.0,
JAK1,filgotinib,5.19,0.0,0.0,
JAK3,tofacitinib,3.88,0.0,0.0,
CYP24A1,VDR ctrl,0.0,0.0,0.0,
