gene,thp1_vdr,category,organoid_vitD,organoid_veh,vitD_enrichment,gse107283_vdr_count,atac_vitd_count,atac_ctrl_count,atac_enrichment
C5AR1,0.0,SLE/Renal,0.81035,1.02205,-0.2117000000000001,0.0,7.0,7.0,0.0
CCR3,0.0,Asthma/Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR9,0.0,IBD/UC/CD,1.2331,1.09985,0.1332499999999998,0.0,3.0,1.0,2.0
CD19,83.95,SLE/Renal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD274,186.2,Cancer/irAE,0.9489,1.0499,-0.101,0.0,6.0,7.0,-1.0
CD38,94.96,SLE/Renal,0.9458,0.91105,0.0347499999999999,0.0,8.0,11.0,-3.0
CD86,26.86,RA,0.9018,1.1306,-0.2288,0.0,0.0,0.0,0.0
CSF2,20.08,RA,0.8756999999999999,0.74665,0.1290499999999999,0.0,0.0,0.0,0.0
CTLA4,0.0,RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL10,5.29,IBD/UC/CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAVCR2,54.67,Cancer/irAE,0.8392,0.76895,0.0702499999999999,0.0,6.0,6.0,0.0
IFNAR1,11.2,SLE/Renal,0.6570499999999999,0.7843500000000001,-0.1273000000000002,0.0,6.0,6.0,0.0
IGHE,3.22,Asthma/Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL10,48.06,IBD/UC/CD,0.79505,0.90785,-0.1128,0.0,0.0,0.0,0.0
IL13,3.31,Asthma/Atopy,0.9566,0.93805,0.0185499999999999,0.0,1.0,0.0,1.0
IL17A,0.0,RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,7.58,RA,1.0574,1.04305,0.0143499999999998,0.0,6.0,6.0,0.0
IL23A,211.05,IBD/UC/CD,0.80325,0.94235,-0.1391,0.0,6.0,6.0,0.0
IL2RA,42.32,SLE/Renal,0.94005,1.0912000000000002,-0.1511500000000001,0.0,0.0,0.0,0.0
IL31RA,6.13,Asthma/Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL33,0.0,Asthma/Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL4R,24.75,Asthma/Atopy,0.8523499999999999,0.8544999999999999,-0.0021499999999999,0.0,11.0,9.0,2.0
IL5,5.67,Asthma/Atopy,0.84175,0.91125,-0.0695,0.0,11.0,11.0,0.0
IL6R,99.59,IBD/UC/CD,0.87245,0.8784000000000001,-0.0059500000000001,0.0,7.0,7.0,0.0
IRAK1,36.1,TLR/innate,0.75545,0.86415,-0.1087,0.0,0.0,0.0,0.0
ITGB7,62.27,IBD/UC/CD,0.83135,0.89045,-0.0590999999999999,0.0,1.0,1.0,0.0
JAK1,0.0,RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAG3,45.93,Cancer/irAE,0.7931999999999999,0.7094,0.0837999999999998,0.0,2.0,2.0,0.0
MAPK14,3.69,RA,0.8933,0.83925,0.0540499999999999,0.0,8.0,6.0,2.0
MMP9,11.54,IBD/UC/CD,0.7939,0.9128,-0.1188999999999999,0.0,3.0,6.0,-3.0
MS4A1,0.0,SLE/Renal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLRC4,13.08,TLR/innate,0.7895,1.0899,-0.3004000000000001,0.0,0.0,0.0,0.0
NLRP1,0.0,TLR/innate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLRP3,55.77,IBD/UC/CD,0.98325,1.17855,-0.1953,0.0,2.0,4.0,-2.0
NOD1,9.43,TLR/innate,0.87195,0.8862,-0.0142499999999999,0.0,6.0,7.0,-1.0
NOD2,126.1,IBD/UC/CD,0.8846,0.9737,-0.0890999999999999,0.0,15.0,16.0,-1.0
OSM,157.73,IBD/UC/CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSMR,39.93,IBD/UC/CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD1,0.0,Cancer/irAE,0.7359,0.85605,-0.1201499999999999,0.0,1.0,5.0,-4.0
RIPK1,8.46,TLR/innate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIPK2,71.1,IBD/UC/CD,0.8143,0.86285,-0.0485499999999999,0.3333333333333333,12.0,12.0,0.0
SIGLEC8,15.57,Asthma/Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD7,30.12,IBD/UC/CD,0.8117,0.71005,0.10165,0.3333333333333333,12.0,14.0,-2.0
STING1,42.16,TLR/innate,0.8240000000000001,0.79865,0.02535,0.0,7.0,7.0,0.0
TIGIT,0.0,Cancer/irAE,0.57315,0.5711999999999999,0.0019500000000001,0.0,2.0,0.0,2.0
TLR10,2.96,TLR/innate,1.0143,1.1341,-0.1198000000000001,0.0,3.0,1.0,2.0
TLR2,11.37,TLR/innate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF,0.0,IBD/UC/CD,0.99,1.0666,-0.0766,0.0,12.0,9.0,3.0
TNFAIP3,5.71,IBD/UC/CD,0.84485,0.8673500000000001,-0.0225,0.0,6.0,6.0,0.0
TNFRSF4,0.0,Cancer/irAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF9,61.43,Cancer/irAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFSF13B,0.0,SLE/Renal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOLLIP,4.88,TLR/innate,0.8894,0.9923,-0.1028999999999999,0.3333333333333333,6.0,7.0,-1.0
TSLP,23.96,Asthma/Atopy,0.9822,1.0817,-0.0995,0.0,9.0,7.0,2.0
TYK2,20.2,IBD/UC/CD,0.6062,0.7615000000000001,-0.1553000000000001,0.0,6.0,6.0,0.0
