disease,category,mol_id,max_phase,efo_term
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2105712,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1471,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1201583,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1023,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL846,1.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1201577,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL601719,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1421,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL3545252,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1079742,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1908360,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL710,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL939,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1637,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL428647,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1743062,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1567,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL98,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1201192,1.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1489,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2403108,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1683544,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1789844,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL628,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2108738,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL521686,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL3137343,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL24828,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL4303669,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2103868,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1237023,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1201567,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1715,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1064,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1200485,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL538943,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL118,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL730,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1201585,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1201748,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1289926,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1201182,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1743082,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1743047,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1738797,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL3707320,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1743085,1.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL11359,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2110732,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1200796,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL25,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL3545311,4.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2103798,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2107881,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL2105734,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL3039544,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1229517,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1743003,1.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1646,1.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1351,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL1431,2.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL810,3.0,non-small cell lung carcinoma
"Carcinoma, Non-Small-Cell Lung",lung_cancer,CHEMBL180022,2.0,non-small cell lung carcinoma
