Disease,Gene,VDR_THP1,VDR_LS180,VDR_LX2,VDR_LCL,VDR_kidney,GR_THP1,GR_macrophage,GR_GM12878,GR_BEAS2B,GR_IMR90
IBD/UC,IL23A,132.2,0.0,0.0,0.0,0.0,13.5,0.0,0.0,23.1,0.0
IBD/UC,TNF,155.6,0.0,0.0,0.0,36.9,0.0,0.0,0.0,19.5,0.0
IBD/UC,TYK2,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0
IBD/UC,ITGB7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBD/UC,NOD2,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBD/UC,IL10,77.4,0.0,0.0,0.0,11.6,7.2,0.0,0.0,0.0,0.0
IBD/UC,MADCAM1,13.7,0.0,0.0,0.0,21.8,0.0,3.6,0.0,92.5,0.0
IBD/UC,JAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
IBD/UC,TLR10,13.2,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0
IBD/UC,STAT3,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,95.3,0.0
RA,TNF,155.6,0.0,0.0,0.0,36.9,0.0,0.0,0.0,19.5,0.0
RA,IL6R,99.6,0.0,0.0,0.0,5.4,8.5,0.0,0.0,82.9,0.0
RA,CD86,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA,MS4A1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RA,IL1B,7.6,0.0,0.0,0.0,0.0,24.1,0.0,0.0,45.1,0.0
RA,PTPRC,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,14.0,0.0
ILD/fibrosis,VEGFA,110.4,0.0,0.0,0.0,32.3,0.0,0.0,0.0,28.3,0.0
ILD/fibrosis,PDGFRB,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.3,0.0
ILD/fibrosis,TGFB1,0.0,0.0,0.0,0.0,0.0,49.2,51.6,0.0,0.0,0.0
ILD/fibrosis,FGFR1,7.8,0.0,0.0,0.0,15.3,0.0,0.0,0.0,128.6,0.0
ILD/fibrosis,IL6R,99.6,0.0,0.0,0.0,5.4,8.5,0.0,0.0,82.9,0.0
SLE/nephritis,CD38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0
SLE/nephritis,IFNAR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLE/nephritis,IL6R,99.6,0.0,0.0,0.0,5.4,8.5,0.0,0.0,82.9,0.0
SLE/nephritis,C5AR1,43.5,0.0,0.0,0.0,14.5,0.0,0.0,0.0,57.9,0.0
SLE/nephritis,TNFSF13B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asthma/rhinitis,IL13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2,0.0
asthma/rhinitis,TSLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asthma/rhinitis,IL4R,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asthma/rhinitis,IL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asthma/rhinitis,IL33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asthma/rhinitis,CCR3,268.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,14.0,0.0
asthma/rhinitis,SIGLEC8,3.9,0.0,0.0,0.0,26.5,0.0,0.0,0.0,30.0,0.0
MS/autoimmune,IL23A,132.2,0.0,0.0,0.0,0.0,13.5,0.0,0.0,23.1,0.0
MS/autoimmune,CD52,21.3,0.0,0.0,0.0,27.6,3.4,0.0,0.0,142.9,0.0
MS/autoimmune,ITGA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
MS/autoimmune,ITGAL,134.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0
MS/autoimmune,LAG3,45.9,0.0,0.0,0.0,20.7,0.0,0.0,0.0,28.7,0.0
MS/autoimmune,PDCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0
MS/autoimmune,MS4A1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS/autoimmune,CD19,84.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,177.4,0.0
irAE/checkpoint,CD274,53.4,0.0,0.0,0.0,33.1,39.8,0.0,0.0,80.5,0.0
irAE/checkpoint,PDCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0
irAE/checkpoint,LAG3,45.9,0.0,0.0,0.0,20.7,0.0,0.0,0.0,28.7,0.0
irAE/checkpoint,CTLA4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irAE/checkpoint,HAVCR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
