gene,chembl_id,total,preclin,p1,p2,p3,approved,preclin_mols
IL23A,,0,0,0,0,0,0,
BTK,CHEMBL5251,22,0,1,8,7,6,
CD274,CHEMBL3580522,13,0,0,3,5,5,
OSM,,0,0,0,0,0,0,
NOD2,CHEMBL1293266,1,0,0,0,0,1,
VEGFA,CHEMBL1783,13,1,0,1,4,7,CHEMBL3707253
IL6R,CHEMBL2364155,4,0,0,1,1,2,
NFKBIA,CHEMBL2898,0,0,0,0,0,0,
CD38,CHEMBL4660,5,0,0,2,1,2,
CD19,CHEMBL3390821,17,1,2,4,2,8,CHEMBL3544992
RIPK2,CHEMBL5014,0,0,0,0,0,0,
ICAM1,CHEMBL3070,3,0,0,3,0,0,
ITGB7,CHEMBL2979,1,0,0,0,1,0,
TNFRSF9,CHEMBL3712857,2,0,0,1,1,0,
NLRP3,CHEMBL1741208,1,0,0,1,0,0,
HAVCR2,CHEMBL4630879,3,0,0,2,1,0,
IL10,CHEMBL3712920,1,0,0,1,0,0,
LAG3,CHEMBL4630881,6,0,0,3,2,1,
ITGAL,CHEMBL1803,1,0,0,0,1,0,
IL2RA,CHEMBL1778,4,0,1,2,1,0,
STING1,CHEMBL4523377,1,0,0,1,0,0,
OSMR,CHEMBL4630885,1,0,0,1,0,0,
TNF,CHEMBL1825,15,0,0,7,3,5,
IRAK1,CHEMBL3357,1,0,0,0,0,1,
MAPK14,CHEMBL260,35,0,15,18,2,0,
SMAD7,,0,0,0,0,0,0,
C5AR1,CHEMBL2373,2,0,0,1,0,1,
IL17RA,CHEMBL3580485,1,0,0,0,0,1,
CD86,CHEMBL2364156,2,0,0,0,0,2,
SEMA4D,CHEMBL4630887,1,0,0,1,0,0,
IRF3,CHEMBL4523293,0,0,0,0,0,0,
IL4R,CHEMBL3580490,1,0,0,0,0,1,
TSLP,CHEMBL3712931,2,0,0,0,0,2,
IL1RL1,,0,0,0,0,0,0,
TNFAIP3,CHEMBL4523200,0,0,0,0,0,0,
TYK2,CHEMBL3553,8,0,0,2,1,5,
CSF2,CHEMBL3712955,6,0,0,3,3,0,
CFB,CHEMBL5731,2,0,0,0,0,2,
RIPK1,CHEMBL5464,1,0,0,1,0,0,
IFNAR1,CHEMBL1887,1,0,0,0,0,1,
PTPN22,CHEMBL2889,0,0,0,0,0,0,
SIGLEC8,CHEMBL4630877,1,0,0,0,1,0,
DUSP1,CHEMBL6026,0,0,0,0,0,0,
NLRC4,CHEMBL4630857,0,0,0,0,0,0,
JAK1,CHEMBL2835,17,0,2,4,2,9,
MMP9,CHEMBL321,5,0,0,3,2,0,
TGFB1,CHEMBL1795178,3,0,0,3,0,0,
TLR2,CHEMBL4163,2,0,0,2,0,0,
CXCR3,CHEMBL4441,0,0,0,0,0,0,
IL18,CHEMBL1741305,3,0,0,2,1,0,
TOLLIP,,0,0,0,0,0,0,
IL1B,CHEMBL1909490,5,0,1,0,2,2,
GPR35,CHEMBL1293267,0,0,0,0,0,0,
CD52,CHEMBL1912,2,0,0,1,0,1,
NOD1,CHEMBL1293222,0,0,0,0,0,0,
CCR2,CHEMBL4015,10,0,0,9,1,0,
CIITA,,0,0,0,0,0,0,
TLR10,,0,0,0,0,0,0,
S1PR1,CHEMBL4333,8,0,0,0,2,6,
IL31RA,CHEMBL4630894,1,0,0,0,0,1,
CD6,CHEMBL3712853,2,0,0,1,1,0,
IL5,CHEMBL1169600,3,0,0,0,1,2,
CXCL10,CHEMBL3712964,2,0,0,2,0,0,
IL13,CHEMBL3580486,8,0,1,3,1,3,
IGHE,CHEMBL1834,6,0,1,3,1,1,
NLRP1,CHEMBL1741214,0,0,0,0,0,0,
IFNG,CHEMBL3286073,3,0,1,1,0,1,
IL33,CHEMBL4630890,3,0,0,2,1,0,
TIGIT,CHEMBL4630878,7,0,2,1,4,0,
CCR9,CHEMBL5815,2,0,1,0,1,0,
PDGFRB,CHEMBL1913,17,0,4,6,2,5,
CCR3,CHEMBL3473,0,0,0,0,0,0,
TNFRSF4,CHEMBL3989383,5,0,0,3,2,0,
IL34,,0,0,0,0,0,0,
IL17A,CHEMBL3390822,11,0,0,5,3,3,
TNFSF13B,CHEMBL2364158,7,0,0,3,3,1,
IL36R,,0,0,0,0,0,0,
MS4A1,CHEMBL2058,19,0,2,4,2,11,
CTLA4,CHEMBL2364164,6,0,0,1,3,2,
IL12B,CHEMBL3580484,0,0,0,0,0,0,
PDCD1,CHEMBL3307223,26,0,0,6,13,7,
