disease,category,n_app_genes,n_fail_genes,vdr_approved,gr_approved,vdr_failed,gr_failed,vdr_domain_index,gr_fail_signal,pct_vdr_dom_app,organ,vdr_tpm
"Rhinitis, Allergic",respiratory,3,0,70.87333333333332,24.98,0.0,0.0,70.87333333333332,-24.98,1.0,lung,18.6
Dermatomyositis,autoimmune,1,16,56.91,9.43,18.876875,57.706875,38.033125,48.276875,1.0,immune cells,15.4
Crohn Disease,GI,2,53,46.885,14.459999999999999,21.678679245283018,41.01867924528302,25.20632075471698,26.558679245283017,1.0,small intestine,38.1
Uveitis,eye,2,19,46.885,14.459999999999999,31.305789473684207,56.164210526315784,15.57921052631579,41.704210526315784,1.0,immune cells,15.4
Nephrotic Syndrome,renal,4,8,21.61,19.0675,6.59875,21.29375,15.01125,2.2262500000000003,0.5,kidney,24.3
"Dermatitis, Atopic",skin,8,29,32.675,45.30500000000001,28.143448275862077,32.199999999999996,4.53155172413792,-13.105000000000011,0.375,skin,45.2
"Spondylitis, Ankylosing",autoimmune,4,15,25.097499999999997,8.04,21.580666666666666,48.36866666666666,3.516833333333331,40.32866666666666,0.75,synovium,6.2
Psoriasis,skin,11,53,22.09,28.24818181818182,19.8488679245283,59.00830188679246,2.2411320754717003,30.76012006861064,0.36363636363636365,skin,45.2
"Pulmonary Disease, Chronic Obstructive",respiratory,4,73,20.79,25.340000000000003,18.954520547945204,50.205479452054796,1.8354794520547948,24.865479452054792,0.5,lung,18.6
"Arthritis, Rheumatoid",autoimmune,20,79,21.298,46.95,23.687974683544304,43.94088607594937,-2.389974683544306,-3.009113924050631,0.35,synovium,6.2
"Lupus Erythematosus, Systemic",autoimmune,3,39,24.986666666666665,17.783333333333335,31.797692307692305,32.144615384615385,-6.8110256410256405,14.36128205128205,0.3333333333333333,immune cells,15.4
Multiple Sclerosis,autoimmune,8,43,14.806249999999999,41.53375,23.607209302325582,42.964418604651165,-8.800959302325584,1.4306686046511672,0.25,brain,4.8
Asthma,respiratory,10,40,18.005000000000003,32.157000000000004,27.116750000000003,51.306999999999995,-9.11175,19.14999999999999,0.4,lung,18.6
"Colitis, Ulcerative",GI,7,47,17.137142857142855,18.314285714285717,34.74255319148936,51.18787234042553,-17.6054103343465,32.87358662613981,0.2857142857142857,colon,29.7
