disease,category,organ,vdr_tpm,n_app,n_fail,vdr_approved,gr_approved,vdr_failed,gr_failed,vdr_domain_index,gr_fail_signal,pct_vdr_app
"Rhinitis, Allergic",respiratory,lung,18.6,3,0,70.87333333333332,24.98,0.0,0.0,70.87333333333332,-24.98,1.0
Dermatomyositis,autoimmune,immune cells,15.4,1,6,56.91,9.43,7.141666666666666,40.26166666666666,49.76833333333333,30.831666666666663,1.0
Uveitis,eye,immune cells,15.4,2,2,46.885,14.459999999999999,5.1,22.545,41.785,8.085000000000003,1.0
Crohn Disease,GI,small intestine,38.1,2,14,46.885,14.459999999999999,36.66571428571428,51.35642857142857,10.219285714285718,36.89642857142857,1.0
Nephrotic Syndrome,renal,kidney,24.3,4,1,21.61,19.0675,14.64,30.96,6.969999999999999,11.892500000000002,0.5
Psoriasis,skin,skin,45.2,11,35,22.09,28.24818181818182,21.630857142857145,70.66657142857144,0.4591428571428544,42.418389610389625,0.36363636363636365
"Arthritis, Rheumatoid",autoimmune,synovium,6.2,20,46,21.298,46.95,23.578478260869563,42.42413043478261,-2.2804782608695646,-4.525869565217391,0.35
"Dermatitis, Atopic",skin,skin,45.2,8,18,32.675,45.30500000000001,35.07055555555556,33.31277777777777,-2.3955555555555605,-11.992222222222239,0.375
"Spondylitis, Ankylosing",autoimmune,synovium,6.2,4,2,25.097499999999997,8.04,27.515,136.355,-2.417500000000004,128.315,0.75
"Lupus Erythematosus, Systemic",autoimmune,immune cells,15.4,3,21,24.986666666666665,17.783333333333335,29.267619047619046,52.80523809523809,-4.280952380952382,35.02190476190475,0.3333333333333333
"Pulmonary Disease, Chronic Obstructive",respiratory,lung,18.6,4,26,20.79,25.340000000000003,28.271538461538462,47.64730769230769,-7.481538461538463,22.30730769230769,0.5
Asthma,respiratory,lung,18.6,12,31,15.004166666666668,35.130833333333335,31.22258064516129,57.550967741935494,-16.218413978494624,22.42013440860216,0.3333333333333333
Multiple Sclerosis,autoimmune,brain,4.8,10,14,11.845000000000002,40.127,35.02571428571429,46.146428571428565,-23.180714285714284,6.019428571428563,0.2
"Colitis, Ulcerative",GI,colon,29.7,7,27,17.137142857142855,18.314285714285717,48.64666666666666,53.06481481481482,-31.509523809523806,34.7505291005291,0.2857142857142857
