disease,category,organ,vdr_tpm,n_app,n_fail,vdr_approved,gr_approved,vdr_failed,gr_failed,vdr_domain_index,gr_fail_signal,pct_vdr_app
"Rhinitis, Allergic",respiratory,lung,18.6,3,0,70.87333333333332,24.98,0.0,0.0,70.87333333333332,-24.98,1.0
Uveitis,eye,immune cells,15.4,2,2,46.885,14.459999999999999,5.1,22.545,41.785,8.085000000000003,1.0
Dermatomyositis,autoimmune,immune cells,15.4,2,5,46.885,14.459999999999999,8.569999999999999,41.314,38.315,26.854,1.0
Nephrotic Syndrome,renal,kidney,24.3,4,1,21.61,19.0675,14.64,30.96,6.969999999999999,11.892500000000002,0.5
Psoriasis,skin,skin,45.2,8,35,22.066249999999997,24.5375,21.036,65.92057142857145,1.0302499999999952,41.38307142857145,0.375
"Dermatitis, Atopic",skin,skin,45.2,8,18,31.8475,38.6325,35.782222222222224,38.06166666666666,-3.9347222222222236,-0.57083333333334,0.5
"Arthritis, Rheumatoid",autoimmune,synovium,6.2,15,46,17.216,30.244000000000003,25.183695652173913,53.44695652173914,-7.967695652173912,23.202956521739136,0.26666666666666666
"Spondylitis, Ankylosing",autoimmune,synovium,6.2,5,2,19.508,8.596,27.515,136.355,-8.007000000000001,127.75899999999999,0.4
Crohn Disease,GI,small intestine,38.1,4,14,27.1575,13.940000000000001,36.66571428571428,51.35642857142857,-9.508214285714281,37.41642857142857,0.5
"Lupus Erythematosus, Systemic",autoimmune,immune cells,15.4,3,15,24.986666666666665,20.756666666666668,34.508,36.92733333333334,-9.521333333333338,16.17066666666667,0.3333333333333333
"Pulmonary Disease, Chronic Obstructive",respiratory,lung,18.6,8,27,17.572499999999998,28.57625,27.224444444444448,45.88259259259259,-9.65194444444445,17.306342592592586,0.5
Asthma,respiratory,lung,18.6,8,26,18.02125,42.90375,32.426153846153845,41.11500000000001,-14.404903846153847,-1.7887499999999932,0.5
Multiple Sclerosis,autoimmune,brain,4.8,6,10,18.133333333333336,36.74166666666667,43.736000000000004,49.80499999999999,-25.602666666666668,13.063333333333325,0.16666666666666666
"Colitis, Ulcerative",GI,colon,29.7,7,27,17.137142857142855,18.314285714285717,48.64666666666666,53.06481481481482,-31.509523809523806,34.7505291005291,0.2857142857142857
