gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
IL13,Asthma,respiratory,2.0,CHEMBL1742985,3.31,99.09,False
ADRB2,Asthma,respiratory,2.0,CHEMBL1789842,14.51,48.38,False
IL13,Asthma,respiratory,3.0,CHEMBL1743035,3.31,99.09,False
ADRB2,Asthma,respiratory,4.0,CHEMBL1084172,14.51,48.38,False
PTGDR2,Asthma,respiratory,2.0,CHEMBL1951575,5.28,3.67,True
IL17A,Asthma,respiratory,2.0,CHEMBL1743068,0.0,0.0,False
TNFSF4,Asthma,respiratory,2.0,CHEMBL2108720,3.38,22.64,False
IL17RA,Asthma,respiratory,2.0,CHEMBL1742996,28.82,33.51,False
IL6,Asthma,respiratory,2.0,CHEMBL1743071,3.51,56.98,False
CHRM3,Asthma,respiratory,3.0,CHEMBL523299,11.74,0.0,True
IL6,Asthma,respiratory,2.0,CHEMBL2108589,3.51,56.98,False
NR3C1,Asthma,respiratory,4.0,CHEMBL2040682,56.91,9.43,True
CHRM3,Asthma,respiratory,4.0,CHEMBL3545181,11.74,0.0,True
PDGFRB,Asthma,respiratory,2.0,CHEMBL1642,0.0,30.47,False
KIT,Asthma,respiratory,2.0,CHEMBL1642,21.29,137.44,False
ABL1,Asthma,respiratory,2.0,CHEMBL1642,34.44,83.06,False
CYSLTR1,Asthma,respiratory,4.0,CHEMBL1200681,14.82,0.0,True
ADRB2,Asthma,respiratory,4.0,CHEMBL1082607,14.51,48.38,False
NR3C1,Asthma,respiratory,4.0,CHEMBL1200500,56.91,9.43,True
VDR,Asthma,respiratory,3.0,CHEMBL1042,30.94,15.24,True
LTB4R,Asthma,respiratory,2.0,CHEMBL1742420,157.15,54.63,True
NR3C1,Asthma,respiratory,4.0,CHEMBL1200538,56.91,9.43,True
NR3C1,Asthma,respiratory,4.0,CHEMBL1650,56.91,9.43,True
NR3C1,Asthma,respiratory,4.0,CHEMBL1370,56.91,9.43,True
NR3C1,Asthma,respiratory,4.0,CHEMBL2021430,56.91,9.43,True
NR3C1,Asthma,respiratory,4.0,CHEMBL384467,56.91,9.43,True
NR3C1,Asthma,respiratory,4.0,CHEMBL389621,56.91,9.43,True
ADRB2,Asthma,respiratory,3.0,CHEMBL32800,14.51,48.38,False
PTGIR,Asthma,respiratory,0.5,CHEMBL494,2.74,12.14,False
ADRB2,Asthma,respiratory,4.0,CHEMBL3989798,14.51,48.38,False
HRH1,Asthma,respiratory,3.0,CHEMBL998,140.89,65.51,True
ADRB2,Asthma,respiratory,2.0,CHEMBL521606,14.51,48.38,False
ADRB1,Asthma,respiratory,2.0,CHEMBL521606,3.23,169.87,False
HMGCR,Asthma,respiratory,1.0,CHEMBL503,23.51,34.51,False
DHFR,Asthma,respiratory,3.0,CHEMBL34259,33.89,42.56,False
NR3C1,Asthma,respiratory,4.0,CHEMBL1201081,56.91,9.43,True
NR3C1,Asthma,respiratory,4.0,CHEMBL650,56.91,9.43,True
NR3C1,Asthma,respiratory,4.0,CHEMBL1364144,56.91,9.43,True
ADRB2,Asthma,respiratory,4.0,CHEMBL1200444,14.51,48.38,False
NR3C1,Asthma,respiratory,4.0,CHEMBL1201014,56.91,9.43,True
PTGDR2,Asthma,respiratory,2.0,CHEMBL361812,5.28,3.67,True
NR3C1,Asthma,respiratory,4.0,CHEMBL635,56.91,9.43,True
HRH1,Asthma,respiratory,2.0,CHEMBL17157,140.89,65.51,True
NR3C1,Asthma,respiratory,4.0,CHEMBL1512,56.91,9.43,True
VDR,Asthma,respiratory,3.0,CHEMBL1536,30.94,15.24,True
CYSLTR1,Asthma,respiratory,4.0,CHEMBL603,14.82,0.0,True
HTR2A,Asthma,respiratory,1.0,CHEMBL831,7.67,0.0,True
HTR2C,Asthma,respiratory,1.0,CHEMBL831,0.0,0.0,False
