gene,disease,category,phase,mol_status,mol_id,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
IL13,Asthma,respiratory,2.0,failed,CHEMBL1742985,3.31,99.09,False,0.2,0.1621621621621621
ADRB2,Asthma,respiratory,4.0,approved,CHEMBL1084172,14.51,48.38,False,0.6,0.2972972972972973
ALOX5AP,Asthma,respiratory,2.0,failed,CHEMBL1922660,32.0,155.0,False,0.2,0.4054
PTGDR,Asthma,respiratory,2.0,failed,CHEMBL1951575,0.0,22.0,False,0.0,0.0541
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL1951575,5.28,3.67,True,0.2,0.1081081081081081
IL9,Asthma,respiratory,2.0,failed,CHEMBL1743012,0.0,0.0,False,0.0,0.0
TNFSF4,Asthma,respiratory,2.0,failed,CHEMBL2108720,3.38,22.64,False,0.5,0.5405405405405406
IL6,Asthma,respiratory,2.0,failed,CHEMBL1743071,3.51,56.98,False,0.2,0.1891891891891892
ALOX5AP,Asthma,respiratory,2.0,failed,CHEMBL1922673,32.0,155.0,False,0.2,0.4054
IL6,Asthma,respiratory,2.0,failed,CHEMBL2108589,3.51,56.98,False,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL2040682,56.91,9.43,True,0.2,0.1891891891891892
CHRM3,Asthma,respiratory,4.0,approved,CHEMBL3545181,11.74,0.0,True,0.2,0.054054054054054
CYSLTR1,Asthma,respiratory,4.0,approved,CHEMBL1200681,14.82,0.0,True,0.1,0.027027027027027
ADRB2,Asthma,respiratory,4.0,approved,CHEMBL1082607,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL1200500,56.91,9.43,True,0.2,0.1891891891891892
PTGS1,Asthma,respiratory,2.0,failed,CHEMBL277474,32.0,91.0,False,0.2,0.2973
LTB4R,Asthma,respiratory,2.0,failed,CHEMBL1742420,157.15,54.63,True,0.4,0.1621621621621621
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL1200538,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL1650,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL1370,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL2021430,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL384467,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,4.0,approved,CHEMBL389621,56.91,9.43,True,0.2,0.1891891891891892
