gene,atac_vitd_count,atac_ctrl_count,atac_enrichment
IL23A,6,6,0
TNF,12,9,3
TYK2,6,6,0
ITGB7,1,1,0
IL6R,7,7,0
IL13,1,0,1
IL4R,11,9,2
TSLP,9,7,2
IL5,11,11,0
IFNAR1,6,6,0
C5AR1,7,7,0
CD38,8,11,-3
LAG3,2,2,0
CD274,6,7,-1
PDCD1,1,5,-4
NLRP3,2,4,-2
RIPK2,12,12,0
STING1,7,7,0
IL10,0,0,0
IL2RA,0,0,0
NOD2,15,16,-1
HAVCR2,6,6,0
CD86,0,0,0
MAPK14,8,6,2
SMAD7,12,14,-2
CSF2,0,0,0
TGFB1,14,18,-4
TNFAIP3,6,6,0
MMP9,3,6,-3
ICAM1,18,19,-1
IL1B,6,6,0
TIGIT,2,0,2
CCR9,3,1,2
CCR2,0,0,0
IFNG,0,0,0
TLR10,3,1,2
NOD1,6,7,-1
NLRC4,0,0,0
TOLLIP,6,7,-1
DUSP1,17,21,-4
