gene_name,VDR_score,GR_score,VDR_dominant,承認済,P1止まり,P1→II通過率,pred_prob_A,pred_passrate
ABAT,0.0,97.03,False,1,0,1.0,0.7606752533111782,0.9065287207937056
TLR7,0.0,3.51,False,2,0,1.0,0.7571548666057539,0.9531956897625891
P2RY12,0.0,96.27,False,10,0,1.0,0.7527441905096562,0.945118522647432
DRD2,0.0,3.32,False,44,0,1.0,0.7509685238430174,0.9442787698553797
CTLA4,0.0,27.22,False,2,0,1.0,0.7504667034793017,0.9524780207325082
TNFRSF13C,0.0,104.09,False,0,0,1.0,0.7495216752157356,0.9143842821956989
CD3E,0.0,14.1,False,1,1,0.857,0.7477708954992824,0.953918967675162
MC2R,0.0,111.82,False,4,0,1.0,0.7473128321524033,0.935760691675676
MMP13,0.0,13.01,False,3,0,1.0,0.7469126230938943,0.9280436029149518
ALK,0.0,4.75,False,7,4,0.636,0.7461098894432433,0.9346037750716735
ESR1,0.0,18.72,False,18,0,1.0,0.7458681943934111,0.948795817582923
CD28,0.0,54.88,False,0,0,1.0,0.7442574143299968,0.9373796459609406
CD2,0.0,12.29,False,1,0,1.0,0.7441485988761053,0.949705134215524
OPRD1,0.0,24.67,False,2,0,1.0,0.7439418585659864,0.9436801539890634
RARB,0.0,89.36,False,1,0,1.0,0.7432736362314696,0.9317641722931673
SLC10A1,0.0,28.16,False,1,0,1.0,0.7414073821646748,0.9388783666795024
S1PR4,0.0,27.15,False,1,0,1.0,0.7407097861932664,0.912911584783712
NTRK3,0.0,10.04,False,1,2,0.5,0.7402374605340735,0.9456244970112974
HDAC2,0.0,20.68,False,1,0,1.0,0.7401017101154579,0.9395613717755835
SCN5A,0.0,18.58,False,5,0,1.0,0.7396519367824258,0.9397961349193126
IL33,0.0,3.73,False,0,0,1.0,0.7396108175330113,0.9520856506045536
LCK,0.0,20.77,False,1,1,0.5,0.7395759061877696,0.9135038169728602
CCL11,0.0,0.0,False,0,0,1.0,0.7389801521981549,0.9646824224697362
HTR2C,0.0,0.0,False,24,0,1.0,0.7389801521981549,0.9646824224697362
PLG,0.0,0.0,False,5,0,1.0,0.7389801521981549,0.9646824224697362
ICOSLG,0.0,0.0,False,0,0,1.0,0.7389801521981549,0.9646824224697362
HCRTR2,0.0,0.0,False,2,0,1.0,0.7389801521981549,0.9646824224697362
MAGEA3,0.0,0.0,False,0,0,1.0,0.7389801521981549,0.9646824224697362
IL17A,0.0,0.0,False,3,0,1.0,0.7389801521981549,0.9646824224697362
TNFSF13B,0.0,0.0,False,1,0,1.0,0.7389801521981549,0.9646824224697362
CHRNA7,0.0,0.0,False,0,4,0.765,0.7389801521981549,0.9646824224697362
IL22,0.0,0.0,False,0,0,1.0,0.7389801521981549,0.9646824224697362
SERPINC1,0.0,0.0,False,10,0,1.0,0.7389801521981549,0.9646824224697362
CD40LG,0.0,0.0,False,0,0,1.0,0.7389801521981549,0.9646824224697362
CA1,0.0,2.45,False,5,0,1.0,0.7382144250544694,0.9528127670031953
CCR9,0.0,12.27,False,0,1,0.5,0.7379299845817838,0.9406925045470601
GPNMB,0.0,4.01,False,0,0,1.0,0.736737472684212,0.9474450800919445
HCRTR1,0.0,3.87,False,2,0,1.0,0.7366113600466806,0.9475103878198212
CHRM2,0.0,3.5,False,11,0,1.0,0.7362595571188806,0.9476924637043079
SLC6A3,0.0,7.65,False,21,0,1.0,0.7360271815144332,0.9416786112808606
GRIA1,0.0,0.0,False,0,0,1.0,0.7358459905059651,0.9601743724879002
TLR3,0.0,0.0,False,0,0,1.0,0.7358459905059651,0.9601743724879002
CD4,0.0,0.0,False,1,0,1.0,0.7358459905059651,0.9601743724879002
GRIA2,0.0,0.0,False,0,0,1.0,0.7358459905059651,0.9601743724879002
IL17F,0.0,0.0,False,1,0,1.0,0.7358459905059651,0.9601743724879002
TRPV1,0.0,0.0,False,2,4,0.778,0.7358459905059651,0.9601743724879002
SLC6A2,0.0,0.0,False,57,0,1.0,0.7358459905059651,0.9601743724879002
GNRHR,0.0,0.0,False,18,0,1.0,0.7358459905059651,0.9601743724879002
MMP12,0.0,0.0,False,0,0,1.0,0.7358459905059651,0.9601743724879002
IL20,0.0,30.05,False,0,0,1.0,0.735432963801236,0.929717556132532
CFTR,0.0,0.0,False,7,0,1.0,0.7352961608584533,0.9341263636045802
SCN4A,0.0,5.51,False,4,0,1.0,0.7347585527223992,0.9423335321752678
ADORA1,0.0,198.31,False,0,3,0.824,0.7342814429367283,0.9119091527916504
GLP2R,0.0,9.98,False,1,0,1.0,0.7339401060926313,0.9366209544388265
PTGER2,0.0,83.44,False,2,0,1.0,0.7335953052565193,0.9183961611409733
MS4A1,0.0,8.92,False,11,2,0.895,0.7334851194128976,0.9368548902907415
TIGIT,0.0,8.84,False,0,2,0.714,0.7334488093640212,0.9368735484945687
IDO1,0.0,0.0,False,0,0,1.0,0.7326878088213084,0.955666322506064
F10,0.0,0.0,False,6,0,1.0,0.7326878088213084,0.955666322506064
MMP1,0.0,0.0,False,3,0,1.0,0.7326878088213084,0.955666322506064
TLR8,0.0,0.0,False,0,0,1.0,0.7326878088213084,0.955666322506064
CASP1,0.0,0.0,False,0,0,1.0,0.7326878088213084,0.955666322506064
TEK,0.0,0.0,False,2,1,0.875,0.7326878088213084,0.955666322506064
HDAC8,0.0,54.22,False,0,0,1.0,0.731687021751586,0.919374823887336
PDCD1,0.0,76.52,False,7,0,1.0,0.7300336978681529,0.9140851388313446
XDH,0.0,8.12,False,4,0,1.0,0.7299290120364885,0.9325405909828131
PTGER3,0.0,0.0,False,1,0,1.0,0.7295057483955202,0.9511582725242279
CACNA1B,0.0,0.0,False,3,0,1.0,0.7295057483955202,0.9511582725242279
DDR2,0.0,0.0,False,1,0,1.0,0.7295057483955202,0.9511582725242279
FLT4,0.0,0.0,False,1,2,0.667,0.7295057483955202,0.9511582725242279
SNAP25,0.0,131.76,False,7,0,1.0,0.7292752095213234,0.9083373724116717
PDGFRB,0.0,30.47,False,5,4,0.765,0.7291473283514848,0.9206704961463437
IFNG,0.0,2.58,False,1,1,0.667,0.7288901248969762,0.9392033852004493
CHRM1,0.0,43.55,False,32,0,1.0,0.727522229700925,0.9153615319498642
EDNRA,0.0,3.7,False,1,0,1.0,0.7269209703430365,0.9340681120771449
TNFSF11,0.0,0.0,False,1,0,1.0,0.7262999589266332,0.9466502225423918
HDAC6,0.0,15.02,False,1,0,1.0,0.7260777839456665,0.92222633557569
LGALS3,2.41,34.77,False,0,0,1.0,0.7259691169563789,0.9258660666516072
TACR1,0.0,0.0,False,5,0,1.0,0.7165418410972747,0.9331260725968835
AHR,0.0,67.78,False,1,0,1.0,0.7165282754104747,0.8963285831758028
TNFRSF4,0.0,193.04,False,0,0,1.0,0.714781958511201,0.8849226007536131
PTGIR,2.74,12.14,False,7,0,1.0,0.7112491247706921,0.9460720022298158
SLC12A1,2.43,8.67,False,5,0,1.0,0.710383139267312,0.9414589561466202
ALDH5A1,4.22,24.85,False,3,0,1.0,0.708781060530458,0.9351161836972389
IL13,3.31,99.09,False,3,1,0.875,0.7077538574871884,0.933707780941146
CD40,4.92,18.96,False,0,0,1.0,0.7051790020444647,0.941400378205877
TNFSF4,3.38,22.64,False,0,0,1.0,0.7017329722787543,0.8635482835817387
IL6,3.51,56.98,False,1,1,0.889,0.6996908886038975,0.9308832460614882
RET,3.91,27.19,False,9,2,0.867,0.6996889659071289,0.9684060767002601
MMP8,3.93,56.14,False,3,0,1.0,0.6989111173294548,0.9362600896658215
S1PR1,6.26,29.35,False,6,0,1.0,0.6972100618122926,0.9163005449688681
NR1H4,2.4,0.0,True,3,0,1.0,0.6965540241594954,0.9420969756062502
IGHE,3.22,11.14,False,1,1,0.833,0.6958020645555412,0.9599108236888917
MAPK11,4.16,27.38,False,1,1,0.667,0.6956316455550643,0.890712380851389
PTGFR,4.37,55.4,False,7,0,1.0,0.6948812521692164,0.9370919676331012
ADRB2,14.51,48.38,False,35,3,0.947,0.6939142321095102,0.9107753809856073
AXL,5.38,261.38,False,2,1,0.857,0.6937307114259009,0.9091179995157193
PGF,2.43,0.0,True,1,0,1.0,0.693312761315346,0.9637193315962801
FGFR1,7.25,63.29,False,3,2,0.818,0.6880056768341054,0.9067538481876682
ADORA2A,2.81,2.2,True,2,3,0.842,0.6871612306361556,0.9530085029978432
DNMT3A,5.6,69.5,False,2,0,1.0,0.6856859482542194,0.9124642137468443
PDGFRA,4.42,134.3,False,4,0,1.0,0.684888891728735,0.9171303961966979
ALOX5,3.77,14.06,False,6,0,1.0,0.6841796110693124,0.9515471588882777
NTRK1,10.46,79.17,False,2,2,0.75,0.6840053029355205,0.9228519000173547
SRC,6.93,58.16,False,3,3,0.625,0.6830987719657649,0.9236063235440418
PTGDR2,5.28,3.67,True,1,4,0.75,0.6821952390350775,0.9533170150376244
CSF1,6.09,118.48,False,0,0,1.0,0.6820127168735408,0.9334603012540224
CSF1R,7.53,84.26,False,7,5,0.75,0.6785358565224077,0.9449882668525542
PPAT,6.72,17.2,False,3,0,1.0,0.6785038905924097,0.926070926356996
CXCL10,5.29,21.93,False,0,0,1.0,0.6765830747778429,0.9576809837472882
CD27,4.22,52.71,False,0,0,1.0,0.6756501297989287,0.9359385611919492
FGFR2,5.13,13.28,False,4,2,0.833,0.6754434730804084,0.9585305821663709
NOS2,4.35,0.0,True,0,0,1.0,0.6751040613788578,0.9463488897717587
IL31RA,6.13,59.84,False,1,0,1.0,0.6748346713064317,0.9305601783097959
ROCK2,10.49,58.06,False,1,0,1.0,0.6746861446525606,0.8885164889448603
HDAC3,4.83,49.5,False,1,0,1.0,0.673563654700698,0.9416252299584911
CDK1,9.43,58.92,False,0,2,0.778,0.6735602456575791,0.9306552479774125
ACVR2B,5.09,39.09,False,1,0,1.0,0.6732292986816056,0.9210264414356698
FLT1,3.67,190.86,False,1,0,1.0,0.6732166769595086,0.9139283391667888
NPR1,3.93,2.99,True,1,0,1.0,0.6724188451432147,0.9504092192781998
IL5,6.02,123.29,False,2,0,1.0,0.6714469750401486,0.8937041317066362
DNMT1,5.19,7.95,False,2,0,1.0,0.6713725893944149,0.907602496000387
PLA2G4A,4.45,0.0,True,0,0,1.0,0.6712699784343641,0.9680625476174264
MARCKS,12.36,34.9,False,0,0,1.0,0.6690580410794671,0.9216339673821674
