drug,target_gene,disease,induction_remission,maintenance_remission,trial_name,weeks_induction,weeks_maintenance,gr_score,vdr_score,vdr_gr_ratio,decline_pct,decline_ratio
infliximab,TNF,UC,37.7,34.7,ACT1,8,54,19.5,36.9,1.7999999999999998,3.0,0.07957559681697612
adalimumab,TNF,UC,18.5,17.3,ULTRA2,8,52,19.5,36.9,1.7999999999999998,1.1999999999999993,0.06486486486486483
golimumab,TNF,UC,51.0,27.8,PURSUIT,6,54,19.5,36.9,1.7999999999999998,23.2,0.4549019607843137
vedolizumab,ITGB7,UC,47.1,41.8,GEMINI1,6,52,17.2,62.3,3.423076923076923,5.300000000000004,0.11252653927813172
ustekinumab,IL23A,UC,62.5,44.0,UNIFI,8,44,70.3,211.1,2.9607293127629735,18.5,0.296
risankizumab,IL23A,UC,71.0,40.0,INSPIRE,12,52,70.3,211.1,2.9607293127629735,31.0,0.43661971830985913
mirikizumab,IL23A,UC,63.5,49.9,LUCENT,12,40,70.3,211.1,2.9607293127629735,13.600000000000001,0.21417322834645672
infliximab,TNF,CD,81.0,36.0,ACCENT1,10,54,19.5,36.9,1.7999999999999998,45.0,0.5555555555555556
adalimumab,TNF,CD,58.0,36.0,CHARM,4,56,19.5,36.9,1.7999999999999998,22.0,0.3793103448275862
vedolizumab,ITGB7,CD,31.4,39.0,GEMINI2,6,52,17.2,62.3,3.423076923076923,-7.600000000000001,-0.2420382165605096
ustekinumab,IL23A,CD,55.5,53.1,IM-UNIFI,8,44,70.3,211.1,2.9607293127629735,2.3999999999999986,0.04324324324324322
risankizumab,IL23A,CD,73.0,52.0,MOTIVATE,12,52,70.3,211.1,2.9607293127629735,21.0,0.2876712328767123
infliximab,TNF,RA,59.0,48.0,ATTRACT,30,54,19.5,36.9,1.7999999999999998,11.0,0.1864406779661017
adalimumab,TNF,RA,63.3,58.9,DE019,24,52,19.5,36.9,1.7999999999999998,4.399999999999999,0.06951026856240125
tocilizumab,IL6R,RA,59.0,47.0,OPTION,24,52,82.9,99.6,1.1871275327771154,12.0,0.2033898305084746
abatacept,CTLA4,RA,67.9,59.5,AIM,12,52,28.0,15.0,0.5172413793103449,8.400000000000006,0.12371134020618564
sarilumab,IL6R,RA,66.4,58.0,MOBILITY,24,52,82.9,99.6,1.1871275327771154,8.400000000000006,0.12650602409638562
baricitinib,JAK1,RA,62.0,55.0,RA-BEACON,12,52,35.0,12.0,0.3333333333333333,7.0,0.11290322580645161
mepolizumab,IL5,Asthma,53.0,48.0,MENSA,32,52,8.0,45.0,5.0,5.0,0.09433962264150944
benralizumab,IL5RA,Asthma,51.0,44.0,CALIMA,28,56,22.0,28.0,1.2173913043478262,7.0,0.13725490196078433
dupilumab,IL4R,Asthma,67.7,60.0,QUEST,52,52,18.0,186.0,9.789473684210526,7.700000000000003,0.11373707533234863
tezepelumab,TSLP,Asthma,70.0,65.0,NAVIGATOR,52,52,3.1,24.0,5.853658536585367,5.0,0.07142857142857142
omalizumab,FCER1A,Asthma,62.0,50.0,EXTRA,24,52,25.0,18.0,0.6923076923076923,12.0,0.1935483870967742
secukinumab,IL17A,Pso,77.1,73.0,ERASURE,12,52,0.0,0.0,0.0,4.099999999999994,0.05317769130998696
ixekizumab,IL17A,Pso,89.1,83.8,UNCOVER-1,12,60,0.0,0.0,0.0,5.299999999999997,0.05948372615039279
guselkumab,IL23A,Pso,85.1,80.5,VOYAGE1,16,48,70.3,211.1,2.9607293127629735,4.599999999999994,0.05405405405405399
risankizumab,IL23A,Pso,91.3,81.9,IMMvent,16,52,70.3,211.1,2.9607293127629735,9.399999999999991,0.10295728368017516
ustekinumab,IL23A,Pso,67.1,59.0,PHOENIX1,12,52,70.3,211.1,2.9607293127629735,8.099999999999994,0.12071535022354687
