disease,gene,drug,status,note,vdr_class,vdr_score,gr_score
Crohn's Disease,IL23A,ustekinumab,approved,anti-IL23,VDR,211.05,70.34
Crohn's Disease,IL23A,risankizumab,approved,anti-IL23,VDR,211.05,70.34
Crohn's Disease,IL23A,mirikizumab,approved,anti-IL23,VDR,211.05,70.34
Crohn's Disease,ITGB7,vedolizumab,approved,anti-α4β7,VDR,62.27,17.23
Crohn's Disease,TNF,infliximab,approved,anti-TNF,VDR,36.86,19.49
Crohn's Disease,TNF,adalimumab,approved,anti-TNF,VDR,36.86,19.49
Crohn's Disease,TNF,certolizumab,approved,anti-TNF,VDR,36.86,19.49
Crohn's Disease,JAK1,upadacitinib,approved,JAK1i,GR,0.0,85.48
Crohn's Disease,S1PR1,ozanimod,approved,S1PR1,GR,6.26,29.35
Crohn's Disease,SMAD7,mongersen,failed,Ph3失敗,GR,30.12,45.04
Crohn's Disease,MMP9,andecaliximab,failed,Ph2/3失敗,GR,11.54,71.71
Crohn's Disease,CCR9,vercirnon,failed,Ph3失敗,GR,0.0,12.27
Crohn's Disease,IFNG,fontolizumab,failed,Ph2中止,GR,0.0,2.58
Crohn's Disease,IL6R,tocilizumab,failed,CD適応なし,VDR,99.59,82.9
Crohn's Disease,IL1B,canakinumab,failed,CD適応なし,GR,7.58,45.09
Crohn's Disease,OSMR,vixarelimab,failed,Ph2失敗,GR,39.93,182.9
Ulcerative Colitis,IL23A,ustekinumab,approved,anti-IL23,VDR,211.05,70.34
Ulcerative Colitis,IL23A,risankizumab,approved,anti-IL23,VDR,211.05,70.34
Ulcerative Colitis,IL23A,mirikizumab,approved,anti-IL23,VDR,211.05,70.34
Ulcerative Colitis,ITGB7,vedolizumab,approved,anti-α4β7,VDR,62.27,17.23
Ulcerative Colitis,TNF,infliximab,approved,anti-TNF,VDR,36.86,19.49
Ulcerative Colitis,TNF,adalimumab,approved,anti-TNF,VDR,36.86,19.49
Ulcerative Colitis,TNF,golimumab,approved,anti-TNF,VDR,36.86,19.49
Ulcerative Colitis,JAK1,tofacitinib,approved,JAK,GR,0.0,85.48
Ulcerative Colitis,JAK1,upadacitinib,approved,JAK1i,GR,0.0,85.48
Ulcerative Colitis,S1PR1,ozanimod,approved,S1PR1,GR,6.26,29.35
Ulcerative Colitis,S1PR1,etrasimod,approved,S1PR1,GR,6.26,29.35
Ulcerative Colitis,SMAD7,mongersen,failed,Ph3失敗,GR,30.12,45.04
Ulcerative Colitis,MMP9,andecaliximab,failed,Ph2/3失敗,GR,11.54,71.71
Ulcerative Colitis,CCR9,vercirnon,failed,Ph3失敗,GR,0.0,12.27
Ulcerative Colitis,OSMR,vixarelimab,failed,Ph2失敗,GR,39.93,182.9
Ulcerative Colitis,IL6R,tocilizumab,failed,Ph2失敗,VDR,99.59,82.9
