gene,organoid_vitD_A,organoid_vitD_B,organoid_veh_A,organoid_veh_B,organoid_vitD,organoid_veh,vitD_enrichment
IL23A,0.8142,0.7923,1.0022,0.8825,0.80325,0.94235,-0.1391
TNF,1.1398,0.8402,1.0743,1.0589,0.99,1.0666,-0.0766
TYK2,0.6547,0.5577,0.8425,0.6805,0.6062,0.7615000000000001,-0.1553000000000001
ITGB7,0.8332,0.8295,1.0277,0.7532,0.83135,0.89045,-0.05909999999999993
IL6R,0.9531,0.7918,1.0474,0.7094,0.87245,0.8784000000000001,-0.005950000000000122
IL13,1.0502,0.863,0.9694,0.9067,0.9566,0.93805,0.018549999999999955
IL4R,0.9558,0.7489,1.0452,0.6638,0.8523499999999999,0.8544999999999999,-0.0021499999999999853
TSLP,1.1161,0.8483,1.3808,0.7826,0.9822000000000001,1.0817,-0.09950000000000003
IL5,0.8033,0.8802,0.9452,0.8773,0.84175,0.91125,-0.0695
IFNAR1,0.7411,0.573,0.9512,0.6175,0.6570499999999999,0.7843500000000001,-0.1273000000000002
C5AR1,0.7468,0.8739,1.0921,0.952,0.81035,1.0220500000000001,-0.2117000000000001
CD38,1.0311,0.8605,0.9818,0.8403,0.9458,0.91105,0.03474999999999995
LAG3,0.8652,0.7212,0.7564,0.6624,0.7931999999999999,0.7094,0.08379999999999987
CD274,1.023,0.8748,1.3052,0.7946,0.9489,1.0499,-0.10100000000000009
PDCD1,0.8823,0.5895,1.0004,0.7117,0.7359,0.85605,-0.12014999999999998
NLRP3,0.9981,0.9684,1.1249,1.2322,0.98325,1.17855,-0.19530000000000003
RIPK2,0.8938,0.7348,0.9852,0.7405,0.8143,0.86285,-0.04854999999999998
STING1,0.7032,0.9448,0.9487,0.6486,0.8240000000000001,0.79865,0.025350000000000095
IL10,0.7661,0.824,1.0824,0.7333,0.79505,0.90785,-0.11280000000000001
IL2RA,1.0216,0.8585,1.1588,1.0236,0.94005,1.0912000000000002,-0.15115000000000012
NOD2,1.0481,0.7211,1.0757,0.8717,0.8846,0.9737,-0.08909999999999996
IRAK1,0.8443,0.6666,1.0154,0.7129,0.75545,0.86415,-0.10870000000000002
HAVCR2,0.7361,0.9423,0.9923,0.5456,0.8392,0.76895,0.07024999999999992
CD86,0.8665,0.9371,1.3167,0.9445,0.9018,1.1306,-0.2288
MAPK14,0.9052,0.8814,0.9496,0.7289,0.8933,0.83925,0.05404999999999993
SMAD7,0.9113,0.7121,0.833,0.5871,0.8117,0.71005,0.10165000000000002
CSF2,0.9133,0.8381,0.8005,0.6928,0.8756999999999999,0.74665,0.1290499999999999
TGFB1,0.897,0.6304,0.7541,0.7075,0.7637,0.7308,0.03290000000000004
TNFAIP3,0.908,0.7817,0.9888,0.7459,0.84485,0.8673500000000001,-0.022500000000000075
MMP9,0.8306,0.7572,1.1195,0.7061,0.7939,0.9128,-0.1188999999999999
ICAM1,0.8026,0.6984,0.7929,0.7846,0.7505,0.7887500000000001,-0.03825000000000012
IL1B,1.058,1.0568,1.1987,0.8874,1.0574,1.04305,0.014349999999999863
TIGIT,0.67,0.4763,0.6878,0.4546,0.57315,0.5711999999999999,0.0019500000000001183
CCR9,1.3123,1.1539,1.2105,0.9892,1.2330999999999999,1.09985,0.13324999999999987
CCR2,1.1135,0.9098,1.2984,1.0587,1.01165,1.17855,-0.16690000000000005
IFNG,0.8666,1.0088,1.0662,0.8589,0.9377,0.96255,-0.02485000000000004
TLR10,1.0795,0.9491,1.1917,1.0765,1.0143,1.1341,-0.11980000000000013
NOD1,0.9787,0.7652,0.8466,0.9258,0.87195,0.8862,-0.014249999999999985
NLRC4,0.7874,0.7916,1.2104,0.9694,0.7895,1.0899,-0.3004000000000001
TOLLIP,0.9143,0.8645,1.0853,0.8993,0.8894,0.9923,-0.10289999999999999
DUSP1,0.8583,0.6226,0.9365,0.8692,0.74045,0.9028499999999999,-0.16239999999999988
