gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
TNFRSF18,10.42,278.84,1,25,1,14,1,14,0.1,0.3783783783783784,False,-1.8199593621910894,other
TNFRSF4,0.0,193.04,0,24,0,14,0,15,0.0,0.40540540540540543,False,-5.376448084061821,failed
TNFRSF9,61.43,101.64,2,7,2,6,2,5,0.2,0.13513513513513514,False,0.5329925104222974,failed
PIK3CD,13.67,23.02,3,12,3,9,3,12,0.3,0.32432432432432434,False,-0.10898010896054479,other
MTOR,62.77,149.22,6,16,6,12,5,11,0.5,0.2972972972972973,False,0.7308621687081974,other
EPHA2,21.18,53.58,4,26,4,15,4,16,0.4,0.43243243243243246,False,-0.10983323622711998,other
CNR2,39.16,29.54,2,11,2,8,2,8,0.2,0.21621621621621623,True,-0.1073130241426337,other
CD52,9.65,0.0,2,6,2,6,2,7,0.2,0.1891891891891892,True,0.07624997931264035,approved
PTAFR,9.03,11.99,2,4,2,4,2,4,0.2,0.10810810810810811,False,0.8302813189071119,other
OPRD1,0.0,24.67,0,4,0,3,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
HCRTR1,0.0,3.87,0,3,0,3,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
LCK,0.0,20.77,1,10,1,7,1,9,0.1,0.24324324324324326,False,-1.20302025339294,other
HDAC1,53.58,41.17,3,18,3,11,3,12,0.3,0.32432432432432434,True,-0.10898010896054479,other
CSF3R,137.23,31.13,5,22,5,12,3,12,0.3,0.32432432432432434,True,-0.10898010896054479,other
FAAH,9.36,119.53,1,7,1,7,1,8,0.1,0.21621621621621623,False,-1.0401988282840968,other
JAK1,12.81,85.48,2,17,2,10,2,11,0.2,0.2972972972972973,False,-0.5492457504845378,approved
PTGER3,0.0,0.0,0,4,0,3,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
PTGFR,4.37,55.4,2,13,2,6,2,6,0.2,0.16216216216216217,False,0.28662122615140956,other
S1PR1,6.26,29.35,4,19,4,12,4,10,0.4,0.2702702702702703,False,0.5488051914338078,approved
CSF1,6.09,118.48,2,15,2,10,2,7,0.2,0.1891891891891892,False,0.07624997931264035,other
