gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status,PPARG_score,PPARG_celltypes,PPARG_experiments,PPARG_repro
TNFRSF18,10.42,278.84,1.0,25.0,1.0,14.0,1.0,14.0,0.1,0.3783783783783784,False,-1.8199593621910897,other,11,1,1,0.1111
TNFRSF4,0.0,193.04,0.0,24.0,0.0,14.0,0.0,15.0,0.0,0.4054054054054054,False,-5.376448084061821,failed,0,0,0,0.0
TNFRSF9,61.43,101.64,2.0,7.0,2.0,6.0,2.0,5.0,0.2,0.1351351351351351,False,0.5329925104222974,failed,0,0,0,0.0
PIK3CD,13.67,23.02,3.0,12.0,3.0,9.0,3.0,12.0,0.3,0.3243243243243243,False,-0.1089801089605447,other,22,2,2,0.2222
MTOR,62.77,149.22,6.0,16.0,6.0,12.0,5.0,11.0,0.5,0.2972972972972973,False,0.7308621687081974,other,22,2,2,0.2222
EPHA2,21.18,53.58,4.0,26.0,4.0,15.0,4.0,16.0,0.4,0.4324324324324324,False,-0.1098332362271199,other,22,2,2,0.2222
CNR2,39.16,29.54,2.0,11.0,2.0,8.0,2.0,8.0,0.2,0.2162162162162162,True,-0.1073130241426337,other,33,3,3,0.3333
CD52,9.65,0.0,2.0,6.0,2.0,6.0,2.0,7.0,0.2,0.1891891891891892,True,0.0762499793126403,approved,88,8,8,0.8889
PTAFR,9.03,11.99,2.0,4.0,2.0,4.0,2.0,4.0,0.2,0.1081081081081081,False,0.8302813189071119,other,11,1,1,0.1111
OPRD1,0.0,24.67,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other,0,0,0,0.0
HCRTR1,0.0,3.87,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other,11,1,1,0.1111
LCK,0.0,20.77,1.0,10.0,1.0,7.0,1.0,9.0,0.1,0.2432432432432432,False,-1.20302025339294,other,11,1,1,0.1111
HDAC1,53.58,41.17,3.0,18.0,3.0,11.0,3.0,12.0,0.3,0.3243243243243243,True,-0.1089801089605447,other,33,3,3,0.3333
CSF3R,137.23,31.13,5.0,22.0,5.0,12.0,3.0,12.0,0.3,0.3243243243243243,True,-0.1089801089605447,other,22,2,2,0.2222
FAAH,9.36,119.53,1.0,7.0,1.0,7.0,1.0,8.0,0.1,0.2162162162162162,False,-1.0401988282840968,other,43,4,3,0.3333
JAK1,12.81,85.48,2.0,17.0,2.0,10.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,approved,0,0,0,0.0
PTGER3,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other,22,2,2,0.2222
PTGFR,4.37,55.4,2.0,13.0,2.0,6.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,other,0,0,0,0.0
S1PR1,6.26,29.35,4.0,19.0,4.0,12.0,4.0,10.0,0.4,0.2702702702702703,False,0.5488051914338078,approved,11,1,1,0.1111
CSF1,6.09,118.48,2.0,15.0,2.0,10.0,2.0,7.0,0.2,0.1891891891891892,False,0.0762499793126403,other,11,1,1,0.1111
ADORA3,43.73,24.52,5.0,12.0,5.0,8.0,4.0,8.0,0.4,0.2162162162162162,True,0.8579215576966897,other,22,2,2,0.2222
CD2,0.0,12.29,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other,0,0,0,0.0
SV2A,15.41,9.71,3.0,4.0,3.0,4.0,3.0,4.0,0.3,0.1081081081081081,True,1.3921602065152263,other,0,0,0,0.0
NPR1,3.93,2.99,1.0,5.0,1.0,4.0,1.0,5.0,0.1,0.1351351351351351,True,-0.3998932937191657,other,11,1,1,0.1111
IL6R,99.59,82.9,7.0,20.0,7.0,15.0,5.0,14.0,0.5,0.3783783783783784,True,0.3930343611431088,approved,11,1,1,0.1111
FDPS,31.62,28.96,5.0,25.0,5.0,20.0,4.0,16.0,0.4,0.4324324324324324,True,-0.1098332362271199,other,22,2,2,0.2222
