gene,n_diseases,diseases,in_tableS4,tableS4_class
NR3C1,14,"Asthma; Pulmonary Disease, Chronic Obstructive; Rhinitis, Allergic; Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Multiple Sclerosis; Dermatomyositis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Colitis, Ulcerative; Nephrotic Syndrome; Uveitis",False,N/A
DHFR,11,"Asthma; Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Multiple Sclerosis; Dermatomyositis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Colitis, Ulcerative; Uveitis",False,N/A
CD86,10,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Multiple Sclerosis; Dermatomyositis; Psoriasis; Crohn Disease; Colitis, Ulcerative; Nephrotic Syndrome; Uveitis",True,VDR
CD80,10,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Multiple Sclerosis; Dermatomyositis; Psoriasis; Crohn Disease; Colitis, Ulcerative; Nephrotic Syndrome; Uveitis",False,N/A
TYK2,9,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Dermatomyositis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Colitis, Ulcerative; Uveitis",True,VDR
JAK1,9,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Dermatomyositis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Colitis, Ulcerative; Uveitis",True,VDR
JAK2,9,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Dermatomyositis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Colitis, Ulcerative; Uveitis",False,N/A
TNF,9,"Asthma; Pulmonary Disease, Chronic Obstructive; Arthritis, Rheumatoid; Spondylitis, Ankylosing; Dermatomyositis; Psoriasis; Crohn Disease; Colitis, Ulcerative; Uveitis",True,VDR
IL17A,8,"Asthma; Arthritis, Rheumatoid; Spondylitis, Ankylosing; Multiple Sclerosis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Uveitis",True,VDR
VDR,8,"Asthma; Pulmonary Disease, Chronic Obstructive; Lupus Erythematosus, Systemic; Multiple Sclerosis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Colitis, Ulcerative",False,N/A
MS4A1,8,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Multiple Sclerosis; Dermatomyositis; Crohn Disease; Colitis, Ulcerative; Nephrotic Syndrome",True,VDR
S1PR1,7,"Lupus Erythematosus, Systemic; Multiple Sclerosis; Dermatomyositis; Dermatitis, Atopic; Psoriasis; Crohn Disease; Colitis, Ulcerative",True,VDR
JAK3,6,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Crohn Disease; Colitis, Ulcerative; Uveitis",False,N/A
ALOX5,6,"Asthma; Pulmonary Disease, Chronic Obstructive; Arthritis, Rheumatoid; Spondylitis, Ankylosing; Crohn Disease; Colitis, Ulcerative",False,N/A
HRH2,6,"Pulmonary Disease, Chronic Obstructive; Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Multiple Sclerosis; Dermatitis, Atopic; Psoriasis",False,N/A
IL1R1,6,"Asthma; Pulmonary Disease, Chronic Obstructive; Arthritis, Rheumatoid; Multiple Sclerosis; Dermatomyositis; Uveitis",False,N/A
HRH1,6,"Asthma; Rhinitis, Allergic; Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Multiple Sclerosis; Dermatitis, Atopic",False,N/A
