gene,vdr_gr_class,drug_query,found_in_ctg,n_trials
CCR3,VDR,CCR3,True,1
IL23A,VDR,risankizumab,True,5
CD274,VDR,atezolizumab,True,5
TNF,VDR,infliximab,True,5
IL6R,VDR,tocilizumab,True,5
CD19,VDR,inebilizumab,True,5
TYK2,VDR,deucravacitinib,True,5
IL13,VDR,dupilumab,True,5
LAG3,VDR,relatlimab,True,5
C5AR1,VDR,avacopan,True,5
PDCD1,VDR,pembrolizumab,True,5
PDGFRB,VDR,nintedanib,True,5
TSLP,VDR,tezepelumab,True,5
IL4R,VDR,dupilumab,True,5
ITGB7,VDR,vedolizumab,True,5
CD86,VDR,abatacept,True,5
IL18,VDR,tadekinig,True,3
IFNAR1,VDR,anifrolumab,True,5
CD38,VDR,daratumumab,True,5
IL5,VDR,mepolizumab,True,5
SIGLEC8,VDR,lirentelimab,True,4
CD52,VDR,alemtuzumab,True,5
MS4A1,VDR,rituximab,True,5
VEGFA,VDR,bevacizumab,True,5
IL33,VDR,itepekimab,True,5
IGHE,VDR,omalizumab,True,5
JAK1,VDR,upadacitinib,True,5
S1PR1,VDR,ozanimod,True,5
CFB,VDR,iptacopan,True,5
IL31RA,VDR,nemolizumab,True,5
IL17RA,VDR,brodalumab,True,5
TNFSF13B,VDR,belimumab,True,5
IL36R,VDR,spesolimab,True,5
CTLA4,VDR,abatacept,True,5
IL12B,VDR,ustekinumab,True,5
IL17A,VDR,secukinumab,True,5
BTK,VDR,rilzabrutinib,True,5
OSM,VDR,OSM,False,0
IL34,VDR,IL34,False,0
NLRP3,VDR,dapansutrile,True,1
RIPK2,VDR,RIPK2 inhibitor,False,0
HAVCR2,VDR,cobolimab,False,0
STING1,VDR,STING1,False,0
IL1RL1,VDR,IL1RL1,True,1
CXCL10,VDR,CXCL10,True,5
TNFRSF9,VDR,TNFRSF9,False,0
IL2RA,VDR,basiliximab,True,5
TNFRSF4,VDR,tavolixizumab,False,0
SEMA4D,VDR,SEMA4D,True,2
CIITA,VDR,CIITA,False,0
IRAK1,VDR,IRAK1,False,0
NLRC4,VDR,NLRC4,True,2
NOD2,VDR,NOD2,False,0
IRF3,VDR,IRF3,False,0
TOLLIP,VDR,TOLLIP,False,0
NOD1,VDR,NOD1,False,0
NLRP1,VDR,NLRP1,False,0
CD6,VDR,CD6,False,0
GPR35,VDR,GPR35,False,0
PTPN22,VDR,PTPN22,False,0
TLR10,VDR,TLR10,False,0
ITGAL,VDR,ITGAL,False,0
DUSP1,GR,DUSP1,False,0
TNFAIP3,GR,NF-kB inhibitor,False,0
TGFB1,GR,fresolimumab,True,5
TLR2,GR,OPN-305,True,3
NFKBIA,GR,NFKBIA,False,0
IL1B,GR,canakinumab,True,5
MAPK14,GR,losmapimod,True,5
SMAD7,GR,mongersen,True,1
CSF2,GR,otilimab,True,5
IFNG,GR,fontolizumab,False,0
TIGIT,GR,tiragolumab,True,5
MMP9,GR,andecaliximab,True,2
ICAM1,GR,alicaforsen,True,5
CCR9,GR,vercirnon,True,4
CCR2,GR,CCR2 antagonist,True,5
CXCR3,GR,CXCR3,False,0
RIPK1,GR,RIPK1,True,1
OSMR,GR,OSMR,False,0
IL10,Both,IL10,True,5
