disease,category,mol_id,max_phase,efo_term
Asthma,respiratory,CHEMBL1742985,2.0,asthma
Asthma,respiratory,CHEMBL1201191,3.0,asthma
Asthma,respiratory,CHEMBL1095777,3.0,asthma
Asthma,respiratory,CHEMBL1789842,2.0,asthma
Asthma,respiratory,CHEMBL1743035,3.0,asthma
Asthma,respiratory,CHEMBL1084172,4.0,asthma
Asthma,respiratory,CHEMBL1198857,3.0,asthma
Asthma,respiratory,CHEMBL1922660,2.0,asthma
Asthma,respiratory,CHEMBL1951575,2.0,asthma
Asthma,respiratory,CHEMBL1743012,2.0,asthma
Asthma,respiratory,CHEMBL1743041,1.0,asthma
Asthma,respiratory,CHEMBL1743068,2.0,asthma
Asthma,respiratory,CHEMBL2108720,2.0,asthma
Asthma,respiratory,CHEMBL1742996,2.0,asthma
Asthma,respiratory,CHEMBL1743071,2.0,asthma
Asthma,respiratory,CHEMBL2108724,2.0,asthma
Asthma,respiratory,CHEMBL1922673,2.0,asthma
Asthma,respiratory,CHEMBL605846,2.0,asthma
Asthma,respiratory,CHEMBL523299,3.0,asthma
Asthma,respiratory,CHEMBL1187833,2.0,asthma
Asthma,respiratory,CHEMBL2108589,2.0,asthma
Asthma,respiratory,CHEMBL2040682,4.0,asthma
Asthma,respiratory,CHEMBL1434,2.0,asthma
Asthma,respiratory,CHEMBL64391,1.0,asthma
Asthma,respiratory,CHEMBL3301673,2.0,asthma
Asthma,respiratory,CHEMBL3545181,4.0,asthma
Asthma,respiratory,CHEMBL279597,2.0,asthma
Asthma,respiratory,CHEMBL1741,3.0,asthma
Asthma,respiratory,CHEMBL1642,2.0,asthma
Asthma,respiratory,CHEMBL1200681,4.0,asthma
Asthma,respiratory,CHEMBL679,4.0,asthma
Asthma,respiratory,CHEMBL1082607,4.0,asthma
Asthma,respiratory,CHEMBL529,3.0,asthma
Asthma,respiratory,CHEMBL1136,3.0,asthma
Asthma,respiratory,CHEMBL777,2.0,asthma
Asthma,respiratory,CHEMBL1200500,4.0,asthma
Asthma,respiratory,CHEMBL196,1.0,asthma
