gene,max_phase,n_drugs,p1,p2,p3,approved,n_diseases
CD86,4,2,0,0,0,2,7
CD80,4,2,0,0,0,2,7
TNF,4,11,0,5,1,5,9
PTGS2,4,10,0,1,2,7,4
MC2R,4,1,0,0,0,1,2
SLC29A1,4,1,0,0,0,1,1
DHFR,4,2,0,0,0,2,8
NR3C1,4,40,0,4,1,35,14
MS4A1,4,5,0,2,0,3,7
FKBP1A,4,4,0,0,0,4,4
IL6R,4,4,0,1,1,2,4
IL1R1,4,3,0,2,0,1,2
PPAT,4,2,0,0,0,2,5
TNFSF13B,4,5,0,1,3,1,2
DHODH,4,2,0,0,1,1,5
TNFSF11,4,1,0,0,0,1,3
CCR5,4,3,1,1,0,1,2
IL1B,4,3,0,0,2,1,4
HMGCR,4,3,0,0,0,3,6
FDPS,4,1,0,0,0,1,1
IL17A,4,10,0,4,3,3,7
JAK1,4,10,0,2,2,6,9
JAK2,4,7,1,0,1,5,8
TYK2,4,6,0,1,1,4,8
JAK3,4,5,0,1,0,4,6
MAPK14,3,15,1,12,2,0,5
CD4,3,2,0,1,1,0,1
IL6,3,6,0,1,5,0,3
GMPS,3,1,0,0,1,0,1
CD3E,4,5,0,1,3,1,6
SYK,4,4,0,1,1,2,2
FGFR3,4,3,0,0,2,1,3
KIT,4,13,0,0,6,7,3
LTA,2,1,0,1,0,0,1
IL22,2,1,0,1,0,0,3
BTK,4,11,0,6,3,2,2
TNFSF13,3,1,0,0,1,0,1
CD19,1,1,1,0,0,0,1
IL17RA,4,1,0,0,0,1,5
CSF2,3,6,0,3,3,0,4
P2RX7,2,2,0,2,0,0,1
MAPKAPK5,2,1,0,1,0,0,1
CSF1R,4,7,1,2,1,3,2
FLT3,4,7,0,1,3,3,3
MMP9,3,2,0,1,1,0,4
CCR1,2,3,0,3,0,0,2
HRH4,2,2,0,2,0,0,3
TNFSF14,2,2,0,2,0,0,3
MAPK11,4,2,0,0,1,1,3
PPIA,4,1,0,0,0,1,4
FAAH,4,1,0,0,0,1,2
TRPV1,4,3,0,1,1,1,4
LTB4R,2,1,0,1,0,0,2
HRH1,4,3,0,0,0,3,2
ACE,4,2,0,0,0,2,1
ALOX5,4,6,0,0,0,6,7
IFNG,2,2,1,1,0,0,2
MMP13,4,2,0,1,0,1,5
ADAM17,2,1,0,1,0,0,1
PLA2G4A,2,1,0,1,0,0,1
IL15,2,1,0,1,0,0,2
PPARG,4,7,0,1,2,4,6
CXCL10,2,1,0,1,0,0,3
IFNAR1,4,1,0,0,0,1,1
MAP2K1,4,8,0,2,1,5,3
MAP2K2,4,7,0,1,1,5,2
TLR7,4,6,0,4,0,2,5
TLR9,4,6,0,1,4,1,4
HRH2,4,2,0,0,0,2,5
PTAFR,4,1,0,0,0,1,1
MIF,3,1,0,0,1,0,1
TRAF3IP2,3,1,0,0,1,0,1
KEAP1,4,1,0,0,0,1,3
CD52,4,1,0,0,0,1,2
CD28,2,1,0,1,0,0,1
TNFSF12,2,1,0,1,0,0,1
SPP1,2,1,0,1,0,0,1
IL20,2,1,0,1,0,0,2
ADORA3,3,1,0,0,1,0,2
CSF1,2,2,0,2,0,0,2
GNRHR,2,1,0,1,0,0,1
NOS2,2,1,0,1,0,0,1
IRAK4,2,1,0,1,0,0,1
PTGER4,2,2,0,2,0,0,2
IL17F,4,2,0,0,1,1,4
CX3CL1,2,1,0,1,0,0,2
PIKFYVE,2,2,0,2,0,0,2
CCR2,2,3,0,3,0,0,3
CD40,2,6,0,6,0,0,4
CD40LG,3,2,0,1,1,0,2
TNFRSF13C,3,1,0,0,1,0,1
