gene,disease,category,mol_id,max_phase,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
IL13,Asthma,respiratory,CHEMBL1742985,2.0,3.31,99.09,False,0.2,0.1621621621621621
ADRB2,Asthma,respiratory,CHEMBL1789842,2.0,14.51,48.38,False,0.6,0.2972972972972973
IL13,Asthma,respiratory,CHEMBL1743035,3.0,3.31,99.09,False,0.2,0.1621621621621621
ADRB2,Asthma,respiratory,CHEMBL1084172,4.0,14.51,48.38,False,0.6,0.2972972972972973
PTGDR2,Asthma,respiratory,CHEMBL1951575,2.0,5.28,3.67,True,0.2,0.1081081081081081
IL17A,Asthma,respiratory,CHEMBL1743068,2.0,0.0,0.0,False,0.0,0.0
TNFSF4,Asthma,respiratory,CHEMBL2108720,2.0,3.38,22.64,False,0.5,0.5405405405405406
IL17RA,Asthma,respiratory,CHEMBL1742996,2.0,28.82,33.51,False,0.3,0.3243243243243243
IL6,Asthma,respiratory,CHEMBL1743071,2.0,3.51,56.98,False,0.2,0.1891891891891892
CHRM3,Asthma,respiratory,CHEMBL523299,3.0,11.74,0.0,True,0.2,0.054054054054054
IL6,Asthma,respiratory,CHEMBL2108589,2.0,3.51,56.98,False,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL2040682,4.0,56.91,9.43,True,0.2,0.1891891891891892
CHRM3,Asthma,respiratory,CHEMBL3545181,4.0,11.74,0.0,True,0.2,0.054054054054054
ABL1,Asthma,respiratory,CHEMBL1642,2.0,34.44,83.06,False,0.2,0.1891891891891892
PDGFRB,Asthma,respiratory,CHEMBL1642,2.0,0.0,30.47,False,0.0,0.2162162162162162
KIT,Asthma,respiratory,CHEMBL1642,2.0,21.29,137.44,False,0.3,0.3513513513513513
CYSLTR1,Asthma,respiratory,CHEMBL1200681,4.0,14.82,0.0,True,0.1,0.027027027027027
ADRB1,Asthma,respiratory,CHEMBL679,4.0,3.23,169.87,False,0.1,0.3783783783783784
ADRB2,Asthma,respiratory,CHEMBL679,4.0,14.51,48.38,False,0.6,0.2972972972972973
ADRA1A,Asthma,respiratory,CHEMBL679,4.0,7.35,0.0,True,0.1,0.054054054054054
ADRB2,Asthma,respiratory,CHEMBL1082607,4.0,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,Asthma,respiratory,CHEMBL1200500,4.0,56.91,9.43,True,0.2,0.1891891891891892
EDNRA,Asthma,respiratory,CHEMBL1111,2.0,0.0,3.7,False,0.0,0.1621621621621621
PDE3A,Asthma,respiratory,CHEMBL1370561,4.0,11.67,0.0,True,0.1,0.1081081081081081
ADORA1,Asthma,respiratory,CHEMBL1370561,4.0,0.0,198.31,False,0.0,0.2432432432432432
ADORA3,Asthma,respiratory,CHEMBL1370561,4.0,43.73,24.52,True,0.4,0.2162162162162162
ADORA2A,Asthma,respiratory,CHEMBL1370561,4.0,2.81,2.2,True,0.1,0.1081081081081081
VDR,Asthma,respiratory,CHEMBL1042,3.0,30.94,15.24,True,0.4,0.1621621621621621
LTB4R,Asthma,respiratory,CHEMBL1742420,2.0,157.15,54.63,True,0.4,0.1621621621621621
PTGS2,Asthma,respiratory,CHEMBL25,3.0,6.62,3.24,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL1200538,4.0,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL1650,4.0,56.91,9.43,True,0.2,0.1891891891891892
EDNRA,Asthma,respiratory,CHEMBL957,2.0,0.0,3.7,False,0.0,0.1621621621621621
NR3C1,Asthma,respiratory,CHEMBL1370,4.0,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL2021430,4.0,56.91,9.43,True,0.2,0.1891891891891892
ADRB1,Asthma,respiratory,CHEMBL1523964,4.0,3.23,169.87,False,0.1,0.3783783783783784
ADRB2,Asthma,respiratory,CHEMBL1523964,4.0,14.51,48.38,False,0.6,0.2972972972972973
ADRA1A,Asthma,respiratory,CHEMBL1523964,4.0,7.35,0.0,True,0.1,0.054054054054054
NR3C1,Asthma,respiratory,CHEMBL384467,4.0,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL389621,4.0,56.91,9.43,True,0.2,0.1891891891891892
ADRB2,Asthma,respiratory,CHEMBL32800,3.0,14.51,48.38,False,0.6,0.2972972972972973
PTGIR,Asthma,respiratory,CHEMBL494,0.5,2.74,12.14,False,0.2,0.1081081081081081
ADRB2,Asthma,respiratory,CHEMBL3989798,4.0,14.51,48.38,False,0.6,0.2972972972972973
HRH1,Asthma,respiratory,CHEMBL998,3.0,140.89,65.51,True,0.4,0.4324324324324324
ADRB1,Asthma,respiratory,CHEMBL521606,2.0,3.23,169.87,False,0.1,0.3783783783783784
ADRB2,Asthma,respiratory,CHEMBL521606,2.0,14.51,48.38,False,0.6,0.2972972972972973
HMGCR,Asthma,respiratory,CHEMBL503,1.0,23.51,34.51,False,0.3,0.3783783783783784
DHFR,Asthma,respiratory,CHEMBL34259,3.0,33.89,42.56,False,0.6,0.3513513513513513
NR3C1,Asthma,respiratory,CHEMBL1201081,4.0,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL650,4.0,56.91,9.43,True,0.2,0.1891891891891892
