gene,max_phase,n_trials,diseases,categories,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro,approved,failed
ABL1,2.0,2,"Asthma; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,34.44,83.06,False,0.2,0.1891891891891892,0,1
ACE,2.0,2,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic",autoimmune,4.76,40.31,False,0.1,0.2702702702702703,0,1
ACVR2B,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,5.09,39.09,False,0.2,0.2702702702702703,0,1
ADAM17,2.0,1,"Arthritis, Rheumatoid",autoimmune,18.4,195.86,False,0.4,0.4864864864864865,0,1
ADH5,2.0,2,"Asthma; Pulmonary Disease, Chronic Obstructive",respiratory,48.36,80.42,False,0.1,0.3783783783783784,0,1
ADORA1,4.0,4,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Psoriasis; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; respiratory; skin,0.0,198.31,False,0.0,0.2432432432432432,1,0
ADORA2A,4.0,5,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Nephrotic Syndrome; Psoriasis; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; renal; respiratory; skin,2.81,2.2,True,0.1,0.1081081081081081,1,0
ADORA3,4.0,4,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Psoriasis; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; respiratory; skin,43.73,24.52,True,0.4,0.2162162162162162,1,0
ADRA1A,4.0,5,"Arthritis, Rheumatoid; Asthma; Multiple Sclerosis",autoimmune; respiratory,7.35,0.0,True,0.1,0.054054054054054,1,0
ADRB1,4.0,6,"Arthritis, Rheumatoid; Asthma; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,3.23,169.87,False,0.1,0.3783783783783784,1,0
