gene,chembl_id,total,p1,p2,p3,approved
CD86,CHEMBL2364156,2,0,0,0,2
CD80,CHEMBL2364157,3,0,0,1,2
TNF,CHEMBL1825,15,0,7,3,5
PTGS2,CHEMBL230,17,0,3,3,11
MC2R,CHEMBL1965,4,0,0,0,4
SLC29A1,CHEMBL1997,1,0,0,0,1
DHFR,CHEMBL202,9,0,1,0,8
NR3C1,CHEMBL2034,75,1,7,3,64
MS4A1,CHEMBL2058,19,2,4,2,11
FKBP1A,CHEMBL1902,7,1,0,1,5
IL6R,CHEMBL2364155,4,0,1,1,2
IL1R1,CHEMBL1959,3,0,2,0,1
PPAT,CHEMBL2362992,3,0,0,0,3
TNFSF13B,CHEMBL2364158,7,0,3,3,1
DHODH,CHEMBL1966,6,0,3,1,2
TNFSF11,CHEMBL2364162,1,0,0,0,1
CCR5,CHEMBL274,12,2,5,4,1
IL1B,CHEMBL1909490,5,1,0,2,2
HMGCR,CHEMBL402,10,0,0,0,10
FDPS,CHEMBL1782,6,0,0,0,6
IL17A,CHEMBL3390822,11,0,5,3,3
JAK1,CHEMBL2835,17,2,4,2,9
JAK2,CHEMBL2971,25,4,6,1,14
TYK2,CHEMBL3553,8,0,2,1,5
JAK3,CHEMBL2148,13,2,5,0,6
MAPK14,CHEMBL260,35,15,18,2,0
CD4,CHEMBL2754,10,0,7,2,1
IL6,CHEMBL1795129,9,1,2,5,1
GMPS,CHEMBL5721,1,0,0,1,0
CD3E,CHEMBL1975,7,1,2,3,1
SYK,CHEMBL2599,14,1,9,2,2
FGFR3,CHEMBL2742,9,0,5,2,2
KIT,CHEMBL1936,34,1,9,10,14
LTA,CHEMBL2059,1,0,1,0,0
IL22,CHEMBL3712915,1,0,1,0,0
BTK,CHEMBL5251,22,1,8,7,6
TNFSF13,CHEMBL3713436,2,0,1,1,0
CD19,CHEMBL3390821,17,2,4,2,8
IL17RA,CHEMBL3580485,1,0,0,0,1
CSF2,CHEMBL3712955,6,0,3,3,0
P2RX7,CHEMBL4805,5,1,3,0,0
MAPKAPK5,CHEMBL3094,1,0,1,0,0
CSF1R,CHEMBL1844,20,5,4,4,7
FLT3,CHEMBL1974,45,11,13,7,14
MMP9,CHEMBL321,5,0,3,2,0
CCR1,CHEMBL2413,3,0,3,0,0
HRH4,CHEMBL3759,3,0,3,0,0
TNFSF14,CHEMBL3712914,2,0,2,0,0
MAPK11,CHEMBL3961,3,1,0,1,1
PPIA,CHEMBL1949,3,0,1,1,1
FAAH,CHEMBL2243,3,0,2,0,1
TRPV1,CHEMBL4794,18,4,9,3,2
LTB4R,CHEMBL3911,2,0,2,0,0
HRH1,CHEMBL231,72,0,9,3,60
ACE,CHEMBL1808,17,0,2,1,14
ALOX5,CHEMBL215,8,0,2,0,6
IFNG,CHEMBL3286073,3,1,1,0,1
MMP13,CHEMBL280,6,0,3,0,3
ADAM17,CHEMBL3706,1,0,1,0,0
PLA2G4A,CHEMBL3816,1,0,1,0,0
IL15,CHEMBL3712954,1,0,1,0,0
PPARG,CHEMBL235,31,2,12,10,7
CXCL10,CHEMBL3712964,2,0,2,0,0
IFNAR1,CHEMBL1887,1,0,0,0,1
MAP2K1,CHEMBL3587,17,4,7,1,5
MAP2K2,CHEMBL2964,16,4,6,1,5
TLR7,CHEMBL5936,11,0,9,0,2
TLR9,CHEMBL5804,9,0,3,5,1
HRH2,CHEMBL1941,12,0,0,1,11
PTAFR,CHEMBL250,2,0,1,0,1
