gene,VDR,GR
TNFRSF18,10.42,278.84
TNFRSF4,0.0,193.04
TNFRSF9,61.43,101.64
PIK3CD,13.67,23.02
MTOR,62.77,149.22
EPHA2,21.18,53.58
CNR2,39.16,29.54
CD52,9.65,0.0
PTAFR,9.03,11.99
OPRD1,0.0,24.67
HCRTR1,0.0,3.87
LCK,0.0,20.77
HDAC1,53.58,41.17
CSF3R,137.23,31.13
FAAH,9.36,119.53
JAK1,12.81,85.48
PTGER3,0.0,0.0
PTGFR,4.37,55.4
S1PR1,6.26,29.35
CSF1,6.09,118.48
ADORA3,43.73,24.52
CD2,0.0,12.29
SV2A,15.41,9.71
NPR1,3.93,2.99
IL6R,99.59,82.9
FDPS,31.62,28.96
NTRK1,10.46,79.17
DDR2,0.0,0.0
TNFSF4,3.38,22.64
SERPINC1,0.0,0.0
PTGS2,6.62,3.24
PLA2G4A,4.45,0.0
ADORA1,0.0,198.31
REN,216.9,21.99
IL20,0.0,30.05
PARP1,16.52,53.71
CHRM3,11.74,0.0
NLRP3,55.77,33.38
ADAM17,18.4,195.86
ROCK2,10.49,58.06
DNMT3A,5.6,69.5
ALK,0.0,4.75
XDH,0.0,8.12
XPO1,31.53,133.51
TACR1,0.0,0.0
IL1R1,5.72,333.19
IL1A,75.78,18.7
IL1B,10.2,45.09
CXCR4,27.15,141.98
NFE2L2,14.76,71.59
CALCRL,6.77,0.0
CD28,0.0,54.88
CTLA4,0.0,27.22
PIKFYVE,32.2,33.04
FN1,18.98,27.15
CXCR2,69.42,8.12
CXCR1,4.96,0.0
INPP5D,179.9,33.08
PDCD1,0.0,76.52
IL5RA,20.35,61.24
HRH1,140.89,65.51
PPARG,11.09,12.78
RAF1,19.66,40.61
HDAC11,64.61,65.73
RARB,0.0,89.36
ACVR2B,5.09,39.09
SCN5A,0.0,18.58
CCR9,0.0,12.27
CCR1,68.06,18.84
CCR2,7.74,6.95
CCR5,19.46,0.0
PTH1R,47.2,234.52
TLR9,9.84,44.51
TIGIT,0.0,8.84
CD80,11.29,0.0
CD86,26.86,18.65
PIK3CB,26.43,23.03
ATR,36.05,89.15
P2RY12,0.0,96.27
GMPS,14.64,30.96
FGFR3,21.59,21.82
PDGFRA,4.42,134.3
KIT,21.29,137.44
KDR,7.48,97.78
PPAT,6.72,17.2
GNRHR,0.0,0.0
CXCL8,10.92,133.41
CXCL10,5.29,21.93
HPSE,9.27,57.65
SPP1,137.09,6.6
ADH5,48.36,80.42
PPP3CA,141.59,11.37
PDE5A,22.77,7.56
FGF2,16.66,55.25
IL15,31.5,27.81
EDNRA,0.0,3.7
NR3C2,19.75,18.02
TLR2,11.37,12.71
GRIA2,0.0,0.0
TLR3,0.0,0.0
SLC6A3,0.0,7.65
OSMR,39.93,182.9
PTGER4,14.13,27.15
GHR,57.7,0.0
ITGA2,19.37,107.8
IL31RA,6.13,59.84
MAP3K1,13.84,101.77
HMGCR,23.51,34.51
DHFR,33.89,42.56
TSLP,23.96,3.11
CSF2,20.08,203.2
IL5,6.02,123.29
IL13,3.31,99.09
CD14,207.55,155.41
HDAC3,4.83,49.5
FGF1,4.72,1.68
NR3C1,56.91,9.43
ADRB2,14.51,48.38
CSF1R,7.53,84.26
PDGFRB,0.0,30.47
GRIA1,0.0,0.0
HAVCR2,54.67,56.32
ITK,54.67,56.32
HRH2,26.08,45.03
FLT4,0.0,0.0
RIPK1,18.79,171.22
ALDH5A1,4.22,24.85
LTA,27.76,19.49
TNF,36.86,19.49
MAPK14,34.95,69.51
VEGFA,110.38,11.56
SLC29A1,34.57,42.62
IL17A,0.0,0.0
IL17F,0.0,0.0
HCRTR2,0.0,0.0
CNR1,22.58,49.88
TRAF3IP2,7.8,151.92
MARCKS,12.36,34.9
HDAC2,0.0,20.68
FRK,12.26,21.27
CCN2,30.84,103.65
ESR1,0.0,18.72
PLG,0.0,0.0
AHR,0.0,67.78
IL6,3.51,56.98
GPNMB,0.0,4.01
PPIA,17.44,7.85
EGFR,11.86,370.19
CDK6,9.72,17.6
NAMPT,66.6,88.13
MET,22.4,124.2
CFTR,0.0,0.0
IMPDH1,22.26,39.69
CHRM2,0.0,3.5
BRAF,15.34,42.78
CDK5,20.19,115.98
LOXL2,13.09,2.82
ADRA1A,7.35,0.0
PTK2B,53.18,61.62
EPHX2,12.61,0.0
GSR,40.43,160.48
FGFR1,7.25,63.29
IDO1,0.0,0.0
IKBKB,17.32,72.67
CA1,0.0,2.45
CA2,12.79,21.88
PTK2,21.61,43.0
JAK2,21.27,62.01
CD274,186.2,80.45
IL33,0.0,3.73
TYRP1,7.57,46.17
TEK,0.0,0.0
NTRK2,4.45,0.0
SYK,55.92,6.88
ABL1,34.44,83.06
CACNA1B,0.0,0.0
MAP3K8,21.09,12.13
RET,3.91,27.19
ALOX5,3.77,14.06
CDK1,9.43,58.92
SIRT1,41.02,239.18
CYP26A1,5.39,9.63
ADRB1,3.23,169.87
FGFR2,5.13,13.28
MS4A1,0.0,8.92
PTGDR2,5.28,3.67
CHRM1,0.0,43.55
PGR,6.14,0.0
MMP7,6.07,39.99
MMP8,3.93,56.14
MMP1,0.0,0.0
MMP12,0.0,0.0
MMP13,0.0,13.01
CASP1,0.0,0.0
IL18,10.77,91.56
DRD2,0.0,3.32
CD3E,0.0,14.1
CHEK1,21.53,17.93
CD27,4.22,52.71
LAG3,45.93,18.9
CD4,0.0,0.0
PDE3A,11.67,0.0
IRAK4,51.38,19.32
VDR,30.94,15.24
ITGB7,62.27,17.23
GPR84,25.04,84.67
PMEL,54.0,325.5
ERBB3,16.13,14.69
CDK4,41.56,62.24
IFNG,0.0,2.58
IL22,0.0,0.0
NR1H4,2.4,0.0
SELPLG,7.43,127.73
ALDH2,13.55,4.69
MAPKAPK5,12.14,67.51
P2RX7,9.05,13.8
FLT3,8.72,45.79
FLT1,3.67,190.86
TNFSF11,0.0,0.0
HTR2A,7.67,0.0
TNFSF13B,0.0,0.0
F10,0.0,0.0
PARP2,28.77,67.4
LTB4R,157.15,54.63
PTGER2,0.0,83.44
LGALS3,2.41,34.77
ESR2,16.18,87.2
SLC10A1,0.0,28.16
PGF,2.43,0.0
CYP46A1,4.33,6.99
IGHE,3.22,11.14
CHRNA7,0.0,0.0
SLC12A1,2.43,8.67
CA12,20.55,19.07
MAP2K1,31.2,348.07
CD276,8.84,130.79
NTRK3,0.0,10.04
IGF1R,13.29,64.15
PDPK1,23.6,75.93
ABAT,0.0,97.03
IL4R,24.75,50.92
CD19,83.95,15.34
VKORC1,120.19,48.52
SLC5A2,25.13,17.87
SLC6A2,0.0,0.0
SLC12A3,7.35,40.15
CX3CL1,10.89,25.81
CA7,8.49,12.51
DHODH,19.91,36.24
TRPV1,0.0,0.0
TNFSF12,11.51,11.96
TNFSF13,15.47,48.73
TP53,117.95,58.06
GLP2R,0.0,9.98
NOS2,4.35,0.0
SLC6A4,4.7,0.0
CCL11,0.0,0.0
RARA,34.13,242.19
TOP2A,7.79,94.71
CA4,19.63,10.22
ACE,4.76,40.31
SCN4A,0.0,5.51
TYMS,10.85,10.02
MC2R,0.0,111.82
HRH4,6.54,0.0
MADCAM1,277.19,109.23
ELANE,64.17,29.71
S1PR4,0.0,27.15
EEF2,17.44,125.78
MAP2K2,11.07,47.1
TNFSF14,35.06,90.67
DNMT1,5.19,7.95
TYK2,20.2,73.07
KEAP1,17.93,41.8
S1PR5,5.07,15.94
JAK3,10.18,31.66
FFAR2,142.07,0.0
AXL,5.38,261.38
PTGIR,2.74,12.14
C5AR1,33.52,55.76
FCGRT,8.46,0.0
SIGLEC8,15.57,0.0
FKBP1A,10.99,52.01
SNAP25,0.0,131.76
SRC,6.93,58.16
TOP1,15.15,65.24
MMP9,11.54,71.71
CD40,4.92,18.96
IFNAR1,18.05,43.92
ICOSLG,0.0,0.0
IL17RA,28.82,33.51
COMT,24.92,49.14
MIF,25.0,20.4
ADORA2A,2.81,2.2
TNFRSF13C,0.0,104.09
PPARA,16.37,15.95
MAPK11,4.16,27.38
TLR7,0.0,3.51
TLR8,0.0,0.0
ARAF,7.72,80.65
HDAC6,0.0,15.02
HDAC8,0.0,54.22
CYSLTR1,14.82,0.0
BTK,209.73,65.13
HTR2C,0.0,0.0
CD40LG,0.0,0.0
MAGEA3,0.0,0.0
AVPR2,22.5,95.61
