disease,category,organ,vdr_tpm,n_total,n_app,n_fail,n_va,n_vf,n_ga,n_gf,or,ci_lo,ci_hi,p,p_mw,vdr_app_rate,gr_app_rate,vdr_mean_app,vdr_mean_fail,reliable
"Arthritis, Rheumatoid",autoimmune,synovium,6.2,66,20,46,7,14,13,32,1.2307692307692308,0.4043980736255716,3.7457965262485815,0.46325537298007285,0.24423910496561513,0.3333333333333333,0.28888888888888886,36.51,53.200714285714284,True
Asthma,respiratory,lung,18.6,43,12,31,4,8,8,23,1.4375,0.3389083111975686,6.097242769580167,0.4445644175876821,0.559688352593265,0.3333333333333333,0.25806451612903225,26.8575,80.91,True
"Colitis, Ulcerative",GI,colon,29.7,34,7,27,2,9,5,18,0.8,0.129017883768271,4.9605526095088015,0.7480165870575148,0.8996764046730226,0.18181818181818182,0.21739130434782608,46.885,121.30333333333334,True
Crohn Disease,GI,small intestine,38.1,18,5,13,3,2,2,11,8.25,0.7954218198002936,85.56780604420487,0.09873949579831934,0.0051704499346355215,0.6,0.15384615384615385,52.01333333333334,158.175,True
"Dermatitis, Atopic",skin,skin,45.2,26,8,18,3,8,5,10,0.75,0.13608224026283336,4.133529833970771,0.774370709382151,0.23374091304809835,0.2727272727272727,0.3333333333333333,69.84666666666666,73.485,True
Dermatomyositis,autoimmune,immune cells,15.4,7,1,6,1,0,0,6,39.0,0.5274248195983265,2883.8233307987953,1.0,,1.0,0.0,56.91,,False
"Lupus Erythematosus, Systemic",autoimmune,immune cells,15.4,24,3,21,1,4,2,17,2.125,0.15224238392530035,29.66076123857631,0.5212450592885376,0.3231398835391155,0.2,0.10526315789473684,56.91,112.2975,True
Multiple Sclerosis,autoimmune,brain,4.8,24,10,14,2,4,8,10,0.625,0.09023403817458309,4.329020488302054,0.8289473684210527,0.8224204435999991,0.3333333333333333,0.4444444444444444,33.28,91.125,True
Nephrotic Syndrome,renal,kidney,24.3,5,4,1,2,0,2,1,3.0,0.07802631718145198,115.34569777361517,1.0,,1.0,0.6666666666666666,38.33,,False
Psoriasis,skin,skin,45.2,46,11,35,4,8,7,27,1.9285714285714286,0.44787174637721483,8.30458224969036,0.3017064231436447,0.21492053962341934,0.3333333333333333,0.20588235294117646,35.5375,55.491249999999994,True
"Pulmonary Disease, Chronic Obstructive",respiratory,lung,18.6,30,4,26,2,9,2,17,1.8888888888888888,0.2267252910206592,15.736670657720287,0.4696223316912972,0.40270634538339156,0.18181818181818182,0.10526315789473684,34.324999999999996,62.16555555555556,True
"Rhinitis, Allergic",respiratory,lung,18.6,3,3,0,3,0,0,0,7.0,0.05140242606718169,953.2623992485926,1.0,,1.0,,70.87333333333332,,False
"Spondylitis, Ankylosing",autoimmune,synovium,6.2,6,4,2,3,0,1,2,11.666666666666666,0.3224110935715958,422.1663392636512,1.0,0.6000000000000001,1.0,0.3333333333333333,33.46333333333333,,False
Uveitis,eye,immune cells,15.4,4,2,2,2,0,0,2,25.0,0.3412059496901297,1831.7382817257476,1.0,0.16666666666666666,1.0,0.0,46.885,,False
