gene,outcome,thp_vdr,thp_gr,ln_vdr,ln_gr
BTK,approved,1,0,0,0
C5AR1,approved,0,0,0,0
CCR2,failed,2,0,0,0
CCR9,failed,0,0,0,0
CD274,approved,5,0,2,0
CD38,approved,4,0,0,0
CD52,approved,2,0,0,0
CD86,approved,1,0,0,0
CFB,approved,1,0,0,0
CSF2,failed,2,0,0,0
CTLA4,approved,0,1,0,0
CXCR3,failed,1,0,0,1
DUSP1,control,2,2,1,1
HAVCR2,approved,3,0,0,0
ICAM1,failed,3,0,0,0
IFNAR1,approved,1,0,1,0
IFNG,failed,0,0,0,0
IGHE,approved,1,0,0,0
IL10,approved,3,0,0,0
IL12B,approved,0,0,0,0
IL13,approved,1,0,0,0
IL17A,approved,0,0,0,0
IL17RA,approved,2,0,0,0
IL1B,failed,3,2,0,0
IL23A,approved,6,0,1,0
IL2RA,approved,1,0,0,0
IL31RA,approved,1,0,0,0
IL33,approved,0,0,0,0
IL4R,approved,3,0,1,0
IL5,approved,1,0,1,0
IL6R,approved,7,1,3,0
IRAK1,research,2,0,0,0
ITGB7,approved,4,0,0,0
JAK1,approved,0,0,1,0
LAG3,approved,1,0,1,0
MAPK14,failed,2,2,0,0
MMP9,failed,2,1,0,0
MS4A1,approved,0,0,0,0
NLRC4,research,2,1,0,0
NLRP3,approved,5,1,0,0
NOD1,research,2,0,1,0
NOD2,research,2,1,0,0
PDCD1,approved,0,0,0,0
RIPK1,failed,1,0,0,0
RIPK2,approved,2,0,1,0
S1PR1,approved,1,0,0,0
SIGLEC8,approved,1,0,0,0
SMAD7,failed,3,0,5,0
STING1,approved,2,1,0,0
TGFB1,failed,4,1,0,0
TIGIT,failed,0,0,0,0
TLR10,research,1,1,0,0
TNF,approved,0,0,0,0
TNFAIP3,failed,2,0,0,0
TNFRSF4,failed,0,0,0,0
TNFSF13B,approved,0,0,0,0
TOLLIP,research,1,0,1,1
TSLP,approved,1,0,0,0
TYK2,approved,3,0,0,0
VEGFA,approved,5,0,1,0
