gene,category,thp1_vdr,ls180_vdr,kidney_vdr,gr_beas2b,gr_thp1,thp1_vdr_n,ls180_vdr_n,thp1_pattern,ls180_pattern
C5AR1,SLE/腎疾患,0.0,0.0,33.52,55.76,0.0,0,0,GR,equivocal
CCR3,喘息/アトピー,0.0,0.0,0.0,24.77,90.53,0,0,GR,equivocal
CCR9,IBD/UC/CD,0.0,0.0,0.0,12.27,0.0,0,0,GR,equivocal
CD19,SLE/腎疾患,83.95,0.0,0.0,0.0,0.0,2,0,VDR,equivocal
CD274,がん免疫/irAE,186.2,0.0,33.05,80.45,0.0,5,0,VDR,equivocal
CD38,SLE/腎疾患,94.96,0.0,0.0,18.88,0.0,4,0,VDR,equivocal
CD86,RA,26.86,0.0,0.0,0.0,0.0,1,0,VDR,equivocal
CSF2,RA,20.08,0.0,0.0,203.2,0.0,2,0,GR,equivocal
CTLA4,RA,0.0,0.0,0.0,0.0,27.22,0,0,GR,equivocal
CXCL10,IBD/UC/CD,5.29,0.0,0.0,21.93,0.0,1,0,GR,equivocal
HAVCR2,がん免疫/irAE,54.67,0.0,8.29,56.32,0.0,3,0,GR,equivocal
IFNAR1,SLE/腎疾患,11.2,0.0,18.05,43.92,0.0,1,0,GR,equivocal
IGHE,喘息/アトピー,3.22,0.0,0.0,0.0,0.0,1,0,VDR,equivocal
IL10,IBD/UC/CD,48.06,0.0,0.0,0.0,0.0,3,0,VDR,equivocal
IL13,喘息/アトピー,3.31,0.0,0.0,99.09,0.0,1,0,GR,equivocal
IL17A,RA,0.0,0.0,0.0,0.0,0.0,0,0,GR,equivocal
IL1B,RA,7.58,0.0,0.0,45.09,24.1,3,0,GR,equivocal
IL23A,IBD/UC/CD,211.05,0.0,30.58,70.34,0.0,6,1,VDR,equivocal
IL2RA,SLE/腎疾患,42.32,0.0,0.0,6.3,0.0,1,0,VDR,equivocal
IL31RA,喘息/アトピー,6.13,0.0,0.0,59.84,0.0,1,0,GR,equivocal
IL33,喘息/アトピー,0.0,0.0,0.0,0.0,0.0,0,0,GR,equivocal
IL4R,喘息/アトピー,24.75,0.0,6.88,50.92,0.0,3,0,GR,equivocal
IL5,喘息/アトピー,5.67,0.0,6.02,123.29,0.0,1,0,GR,equivocal
IL6R,IBD/UC/CD,99.59,0.0,5.45,82.9,8.54,7,0,VDR,equivocal
IRAK1,TLR/innate,36.1,0.0,0.0,20.84,0.0,2,0,VDR,equivocal
ITGB7,IBD/UC/CD,62.27,0.0,0.0,17.23,0.0,4,0,VDR,equivocal
JAK1,RA,0.0,0.0,12.81,85.48,0.0,0,0,GR,equivocal
LAG3,がん免疫/irAE,45.93,0.0,0.0,18.9,0.0,1,0,VDR,equivocal
MAPK14,RA,3.69,0.0,34.95,69.51,11.13,2,2,GR,equivocal
MMP9,IBD/UC/CD,11.54,0.0,0.0,71.71,33.39,2,0,GR,equivocal
MS4A1,SLE/腎疾患,0.0,0.0,0.0,0.0,0.0,0,0,GR,equivocal
NLRC4,TLR/innate,13.08,0.0,0.0,0.0,44.29,2,0,VDR,equivocal
NLRP1,TLR/innate,0.0,0.0,0.0,0.0,0.0,0,0,GR,equivocal
NLRP3,IBD/UC/CD,55.77,0.0,0.0,33.38,10.76,5,0,VDR,equivocal
NOD1,TLR/innate,9.43,0.0,4.26,51.12,0.0,2,0,GR,equivocal
NOD2,IBD/UC/CD,126.1,0.0,0.0,34.42,8.03,2,0,VDR,equivocal
OSM,IBD/UC/CD,157.73,0.0,0.0,14.69,0.0,5,0,VDR,equivocal
OSMR,IBD/UC/CD,39.93,0.0,22.08,182.9,0.0,1,0,GR,equivocal
PDCD1,がん免疫/irAE,0.0,0.0,0.0,3.24,0.0,0,0,GR,equivocal
RIPK1,TLR/innate,8.46,0.0,18.79,171.22,0.0,1,1,GR,equivocal
RIPK2,IBD/UC/CD,71.1,0.0,83.37,70.59,0.0,2,0,VDR,equivocal
SIGLEC8,喘息/アトピー,15.57,0.0,0.0,0.0,0.0,1,0,VDR,equivocal
SMAD7,IBD/UC/CD,30.12,0.0,33.52,45.04,0.0,3,1,GR,equivocal
STING1,TLR/innate,42.16,0.0,0.0,200.03,7.36,2,0,GR,equivocal
TIGIT,がん免疫/irAE,0.0,0.0,0.0,8.84,0.0,0,0,GR,equivocal
TLR10,TLR/innate,2.96,0.0,6.33,0.0,2.45,1,0,VDR,equivocal
TLR2,TLR/innate,11.37,0.0,10.74,12.71,0.0,1,0,GR,equivocal
TNF,IBD/UC/CD,0.0,0.0,36.86,19.49,0.0,0,0,GR,equivocal
TNFAIP3,IBD/UC/CD,5.71,0.0,22.54,42.78,0.0,2,1,GR,equivocal
TNFRSF4,がん免疫/irAE,0.0,0.0,0.0,101.41,0.0,0,0,GR,equivocal
TNFRSF9,がん免疫/irAE,61.43,0.0,0.0,101.64,0.0,1,0,GR,equivocal
TNFSF13B,SLE/腎疾患,0.0,0.0,0.0,0.0,0.0,0,0,GR,equivocal
TOLLIP,TLR/innate,4.88,0.0,10.25,65.4,0.0,1,0,GR,equivocal
TSLP,喘息/アトピー,23.96,0.0,5.47,0.0,0.0,1,0,VDR,equivocal
TYK2,IBD/UC/CD,20.2,0.0,18.38,73.07,0.0,3,0,GR,equivocal
