gene,disease_id,disease,therapeutic_areas,score,status
CNR2,HP_0001744,Splenomegaly,phenotype,0.2664100123217065,other
CNR2,EFO_0005772,neurodegenerative disease,nervous system disease,0.21452478304957343,other
CNR2,EFO_0000616,neoplasm,cancer or benign tumor,0.1108161474567775,other
CNR2,HP_0012531,Pain,phenotype,0.10570753802013064,other
CNR2,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.10172564483732971,other
CD52,EFO_0000095,chronic lymphocytic leukemia,"hematologic disease; immune system disease; genetic, familial or congenital disease; cancer or benign tumor",0.5770414699711784,approved
CD52,MONDO_0005301,multiple sclerosis,nervous system disease; immune system disease,0.5588457680955596,approved
CD52,EFO_0003929,relapsing-remitting multiple sclerosis,nervous system disease; immune system disease,0.3768780931397307,approved
CD52,EFO_0020092,neuroinflammatory disorder,nervous system disease; immune system disease,0.3593064710804086,approved
CD52,EFO_0000565,leukemia,hematologic disease; cancer or benign tumor,0.332584079767381,approved
HDAC1,EFO_0000616,neoplasm,cancer or benign tumor,0.5764179124027979,other
HDAC1,EFO_0001378,multiple myeloma,"immune system disease; hematologic disease; cancer or benign tumor; genetic, familial or congenital disease",0.5655447252469439,other
HDAC1,EFO_0002913,Cutaneous T-cell lymphoma,"integumentary system disease; cancer or benign tumor; hematologic disease; genetic, familial or congenital disease",0.5639331511254982,other
HDAC1,MONDO_0010679,Duchenne muscular dystrophy,"nervous system disease; genetic, familial or congenital disease; musculoskeletal or connective tissue disease; phenotype",0.5175685962126962,other
HDAC1,EFO_0000211,unspecified peripheral T-cell lymphoma,"hematologic disease; genetic, familial or congenital disease; cancer or benign tumor",0.516515909750067,other
CSF3R,MONDO_0014865,autosomal recessive severe congenital neutropenia due to CSF3R deficiency,"genetic, familial or congenital disease; hematologic disease; immune system disease",0.7829162450144729,other
CSF3R,MONDO_0018542,severe congenital neutropenia,"genetic, familial or congenital disease; hematologic disease; immune system disease",0.6994560531546791,other
CSF3R,EFO_0000616,neoplasm,cancer or benign tumor,0.6412299444970341,other
CSF3R,EFO_0000198,myelodysplastic syndrome,"hematologic disease; cancer or benign tumor; genetic, familial or congenital disease",0.615273551723945,other
CSF3R,MONDO_0008092,hereditary neutrophilia,"hematologic disease; immune system disease; genetic, familial or congenital disease",0.6095571995562912,other
ADORA3,MONDO_0005277,migraine disorder,nervous system disease; cardiovascular disease,0.6052134617149065,other
ADORA3,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.604527791234959,other
ADORA3,EFO_0009493,paroxysmal tachycardia,cardiovascular disease,0.5868213846274001,other
ADORA3,HP_0012531,Pain,phenotype,0.5712205431287553,other
ADORA3,HP_0002104,Apnea,phenotype,0.5707776709920809,other
SV2A,EFO_0000474,epilepsy,nervous system disease,0.6232726849721774,other
SV2A,HP_0001250,Seizure,phenotype,0.6075441108199912,other
SV2A,HP_0002069,Bilateral tonic-clonic seizure,phenotype,0.6034589576720745,other
