gene,VDR_score,GR_score,log_VDR,log_GR,VDR_repro,GR_repro,VDR_dominant,status,pred_prob
REN,216.9,21.99,5.384036241950574,3.1350593387750902,0.2,0.081081081081081,True,other,0.8129431831903485
IL1A,75.78,18.7,4.340944189572651,2.9806186357439426,0.1,0.054054054054054,True,other,0.7848700633913408
CCR1,68.06,18.84,4.234975691961846,2.987700101856727,0.2,0.054054054054054,True,other,0.7780358755107191
TNFRSF9,61.43,101.64,4.134045929073653,4.631227720307381,0.2,0.1351351351351351,False,failed,0.7683487776193452
LTB4R,157.15,54.63,5.063543949751658,4.018722624087202,0.4,0.1621621621621621,True,other,0.7637409157415974
AVPR2,22.5,95.61,3.1570004211501135,4.570682255529419,0.2,0.081081081081081,False,other,0.763038805822705
CD86,26.86,18.65,3.3271919683516598,2.9780773383152703,0.1,0.027027027027027,True,approved,0.7586068088171365
CXCR2,69.42,8.12,4.254477313726906,2.21046980408624,0.1,0.054054054054054,True,other,0.7527577977306533
NAMPT,66.6,88.13,4.213607983048918,4.490095978142626,0.0,0.1621621621621621,False,other,0.7495098684035925
HRH2,26.08,45.03,3.298795448044074,3.82929335782915,0.1,0.081081081081081,False,other,0.7443110959001096
CNR1,22.58,49.88,3.160398895109225,3.9294699190318667,0.1,0.081081081081081,False,other,0.7411800790943929
CSF2,20.08,203.2,3.0483247236731614,5.319099905730565,0.2,0.1351351351351351,False,failed,0.7408462496688196
CD274,186.2,80.45,5.232177564043492,4.399989335048054,0.6,0.2162162162162162,True,approved,0.7362520006318104
INPP5D,179.9,33.08,5.19794439240125,3.528710701961115,0.4,0.1891891891891892,True,other,0.7284967849740711
ITK,54.67,56.32,4.019441402195416,4.048649602959971,0.2,0.1621621621621621,False,other,0.7165329491920551
HAVCR2,54.67,56.32,4.019441402195416,4.048649602959971,0.2,0.1621621621621621,False,ongoing,0.7165329491920551
BTK,209.73,65.13,5.350577693209122,4.191622501686571,0.4,0.2432432432432432,True,ongoing,0.7150722766331085
RET,3.91,27.19,1.5912739418064292,3.338967305126021,0.1,0.0,False,other,0.7063419683164949
TNF,36.86,19.49,3.633895145781177,3.0199369622508083,0.1,0.1081081081081081,True,approved,0.7048072989335241
NLRP3,55.77,33.38,4.039008017182635,3.5374749999547035,0.2,0.1621621621621621,True,ongoing,0.6958866705672125
LTA,27.76,19.49,3.358985532852846,3.0199369622508083,0.1,0.1081081081081081,True,other,0.689324809939223
ABL1,34.44,83.06,3.56784112573688,4.431530829576971,0.2,0.1891891891891892,False,other,0.6821383960108606
FGFR3,21.59,21.82,3.1175073304799117,3.1276373444339294,0.1,0.1081081081081081,False,other,0.6801852541516562
SLC5A2,25.13,17.87,3.263084079532521,2.9375733593804587,0.2,0.1081081081081081,True,other,0.6772800196684968
FFAR2,142.07,0.0,4.963334020978243,0.0,0.1,0.081081081081081,True,other,0.6743058203629531
ITGB7,62.27,17.23,4.147411283158793,2.9030685886905716,0.2,0.1621621621621621,True,approved,0.6740776142557903
CD14,207.55,155.41,5.340178820642954,5.05248076468615,0.5,0.3243243243243243,True,other,0.6716032652843256
LAG3,45.93,18.9,3.8486571298063263,2.990719731730447,0.2,0.1621621621621621,True,approved,0.6603731409310943
CA7,8.49,12.51,2.2502386126218363,2.6034301519721073,0.1,0.054054054054054,False,other,0.6590994611326682
TYRP1,7.57,46.17,2.1482677326096886,3.8537580972961702,0.1,0.1081081081081081,False,other,0.655858899790115
CSF1R,7.53,84.26,2.143589361503588,4.445705411337064,0.2,0.1351351351351351,False,other,0.652498592182066
CCR5,19.46,0.0,3.0184717605234805,0.0,0.1,0.0,True,other,0.6397062384618863
FLT3,8.72,45.79,2.2741856184723477,3.845669504878125,0.1,0.1351351351351351,False,other,0.6353197163030166
CXCL10,5.29,21.93,1.8389610707123492,3.132446096869813,0.1,0.081081081081081,False,ongoing,0.6309459302065764
CD276,8.84,130.79,2.286455711064162,4.881209746655798,0.2,0.1891891891891892,False,other,0.6257362974550276
MTOR,62.77,149.22,4.155282860327181,5.0121008862578655,0.5,0.2972972972972973,False,other,0.6254670792721655
VDR,30.94,15.24,3.4638591427868666,2.787477334733532,0.4,0.1621621621621621,True,other,0.6211079355947394
SV2A,15.41,9.71,2.7978909051019993,2.3711778844596574,0.3,0.1081081081081081,True,other,0.6196183737585588
P2RY12,0.0,96.27,0.0,4.577490616881349,0.0,0.054054054054054,False,other,0.6169943870887867
TLR2,11.37,12.71,2.5152741864043966,2.6181254935742233,0.2,0.1081081081081081,False,failed,0.6168867975521126
VKORC1,120.19,48.52,4.797359561980396,3.9023766283763406,0.4,0.2972972972972973,True,other,0.6153519146896831
CNR2,39.16,29.54,3.6928714753834737,3.4190372997904865,0.2,0.2162162162162162,True,other,0.6148506215765202
NR3C1,56.91,9.43,4.058890081237698,2.344686269012681,0.2,0.1891891891891892,True,other,0.6146544674853842
SPP1,137.09,6.6,4.92790564649726,2.028148247292285,0.6,0.2162162162162162,True,other,0.6128538098800762
TLR9,9.84,44.51,2.3832429960115,3.8179320820285505,0.1,0.1621621621621621,False,other,0.6122539080477791
ADORA3,43.73,24.52,3.8006444174447567,3.239462458476589,0.4,0.2162162162162162,True,other,0.6066582105745757
FGFR2,5.13,13.28,1.81319474994812,2.658859956911438,0.1,0.081081081081081,False,other,0.606433750832436
IGHE,3.22,11.14,1.4398351280479205,2.4965057856313524,0.1,0.054054054054054,False,approved,0.6037697152670091
IL4R,24.75,50.92,3.248434627109745,3.9497040723958348,0.5,0.2162162162162162,False,approved,0.6030862050876797
PTAFR,9.03,11.99,2.305580601973844,2.5641798306825083,0.2,0.1081081081081081,False,other,0.6009353781152019
CSF1,6.09,118.48,1.958685340544036,4.783148993347909,0.2,0.1891891891891892,False,other,0.6002338756781076
FAAH,9.36,119.53,2.337952236831337,4.791898684600252,0.1,0.2162162162162162,False,other,0.5989009313410827
SIGLEC8,15.57,0.0,2.8075938314384716,0.0,0.1,0.027027027027027,True,approved,0.5977553406017301
PMEL,54.0,325.5,4.007333185232471,5.788429948716486,0.5,0.3513513513513513,False,other,0.5960472640220984
CYSLTR1,14.82,0.0,2.761274962339508,0.0,0.1,0.027027027027027,True,other,0.5947809956576092
IL13,3.31,99.09,1.4609379041156565,4.606069781230928,0.2,0.1621621621621621,False,approved,0.5888208521093762
CTLA4,0.0,27.22,0.0,3.340030946424668,0.0,0.027027027027027,False,approved,0.5853850667985274
RARA,34.13,242.19,3.559055466277736,5.493843030825574,0.4,0.3243243243243243,False,other,0.5851600401388278
JAK2,21.27,62.01,3.1032404812692764,4.143293443953964,0.2,0.2432432432432432,False,other,0.5835051177566681
MMP9,11.54,71.71,2.5289235352047745,4.286478926661966,0.2,0.2162162162162162,False,failed,0.5829860050691099
C5AR1,33.52,55.76,3.541538866215227,4.038831852291842,0.1,0.2702702702702703,False,approved,0.5803406206848284
HDAC3,4.83,49.5,1.763017000362401,3.9219733362813143,0.1,0.1621621621621621,False,other,0.5775380868697192
CD19,83.95,15.34,4.442062848117941,2.7936160894318567,0.1,0.2702702702702703,True,approved,0.5766867927201901
HRH4,6.54,0.0,2.020222182019865,0.0,0.1,0.0,True,other,0.5763503288856713
