human_gene,zebrafish_gene,zebrafish_name,perc_id,has_ortholog
TNFRSF18,ENSDARG00000054968,ENSDARP00000114636,12.5874,True
TNFRSF4,ENSDARG00000054968,ENSDARP00000114636,14.3357,True
TNFRSF9,,,0.0,False
PIK3CD,ENSDARG00000003250,ENSDARP00000017757,69.8749,True
MTOR,ENSDARG00000053196,ENSDARP00000105458,89.0753,True
EPHA2,,,0.0,False
CNR2,ENSDARG00000039970,ENSDARP00000058472,37.0757,True
CD52,,,0.0,False
PTAFR,ENSDARG00000042370,ENSDARP00000128308,41.9178,True
OPRD1,ENSDARG00000037159,ENSDARP00000054036,67.2,True
HCRTR1,,,0.0,False
LCK,,,0.0,False
HDAC1,ENSDARG00000015427,ENSDARP00000051798,90.4167,True
CSF3R,ENSDARG00000045959,ENSDARP00000063985,26.7901,True
FAAH,ENSDARG00000090063,ENSDARP00000107067,55.7029,True
JAK1,ENSDARG00000020625,ENSDARP00000037399,62.706,True
PTGER3,ENSDARG00000055781,ENSDARP00000079933,53.3666,True
PTGFR,ENSDARG00000074016,ENSDARP00000103644,45.8974,True
S1PR1,ENSDARG00000042690,ENSDARP00000062632,70.9945,True
CSF1,ENSDARG00000075343,ENSDARP00000101884,14.6388,True
ADORA3,ENSDARG00000026246,ENSDARP00000064678,38.1657,True
CD2,ENSDARG00000090396,ENSDARP00000107917,16.6667,True
SV2A,ENSDARG00000059945,ENSDARP00000139043,79.6726,True
NPR1,ENSDARG00000104393,ENSDARP00000131437,59.0866,True
FDPS,ENSDARG00000040890,ENSDARP00000111961,62.6404,True
NTRK1,ENSDARG00000004586,ENSDARP00000018941,51.5684,True
DDR2,ENSDARG00000058695,ENSDARP00000123523,66.3905,True
TNFSF4,,,0.0,False
SERPINC1,ENSDARG00000042684,ENSDARP00000062617,58.0,True
PTGS2,ENSDARG00000004539,ENSDARP00000022450,67.8869,True
PLA2G4A,ENSDARG00000024546,ENSDARP00000090686,71.6599,True
ADORA1,ENSDARG00000075694,ENSDARP00000101777,63.0499,True
IL20,ENSDARG00000090344,ENSDARP00000111843,34.5946,True
PARP1,ENSDARG00000019529,ENSDARP00000008364,71.4709,True
CHRM3,ENSDARG00000071091,ENSDARP00000129862,58.6555,True
NLRP3,,,0.0,False
ADAM17,ENSDARG00000093093,ENSDARP00000127197,59.4306,True
ROCK2,ENSDARG00000096433,ENSDARP00000088595,59.7911,True
DNMT3A,ENSDARG00000005394,ENSDARP00000091093,66.1972,True
ALK,ENSDARG00000095833,ENSDARP00000124055,52.0745,True
XDH,ENSDARG00000055240,ENSDARP00000072020,67.4315,True
XPO1,ENSDARG00000063229,ENSDARP00000149441,95.3747,True
TACR1,ENSDARG00000102900,ENSDARP00000131307,66.2621,True
IL1R1,,,0.0,False
IL1A,,,0.0,False
IL1B,ENSDARG00000089383,ENSDARP00000105999,11.5169,True
CXCR4,ENSDARG00000057633,ENSDARP00000074800,66.3889,True
NFE2L2,ENSDARG00000042824,ENSDARP00000062853,44.5392,True
CALCRL,ENSDARG00000011571,ENSDARP00000125632,65.6652,True
CD28,ENSDARG00000092653,ENSDARP00000121388,19.5556,True
CTLA4,,,0.0,False
PIKFYVE,ENSDARG00000056112,ENSDARP00000124842,72.241,True
FN1,ENSDARG00000006526,ENSDARP00000094530,55.28,True
CXCR2,ENSDARG00000054975,ENSDARP00000071727,42.9412,True
CXCR1,ENSDARG00000054975,ENSDARP00000071727,43.5294,True
INPP5D,ENSDARG00000074283,ENSDARP00000104271,58.6876,True
PDCD1,,,0.0,False
IL5RA,,,0.0,False
HRH1,ENSDARG00000054707,ENSDARP00000066281,91.2397,True
PPARG,,,0.0,False
RAF1,,,0.0,False
HDAC11,ENSDARG00000087573,ENSDARP00000134194,70.2186,True
RARB,,,0.0,False
ACVR2B,ENSDARG00000103108,ENSDARP00000133826,73.5812,True
SCN5A,,,0.0,False
CCR9,ENSDARG00000099738,ENSDARP00000134711,38.9474,True
CCR1,ENSDARG00000086616,ENSDARP00000105159,33.82,True
CCR2,ENSDARG00000086616,ENSDARP00000105159,31.1436,True
CCR5,ENSDARG00000086616,ENSDARP00000105159,33.09,True
PTH1R,ENSDARG00000020957,ENSDARP00000091807,68.2836,True
TLR9,,,0.0,False
TIGIT,ENSDARG00000062831,ENSDARP00000085674,7.52475,True
CD80,,,0.0,False
CD86,,,0.0,False
PIK3CB,ENSDARG00000075253,ENSDARP00000128403,68.0556,True
ATR,ENSDARG00000025672,ENSDARP00000036852,72.5051,True
P2RY12,ENSDARG00000069945,ENSDARP00000128926,52.4638,True
GMPS,ENSDARG00000079848,ENSDARP00000097707,85.6936,True
FGFR3,ENSDARG00000004782,ENSDARP00000011898,71.1844,True
PDGFRA,ENSDARG00000070494,ENSDARP00000094286,45.7418,True
KIT,ENSDARG00000043317,ENSDARP00000099069,47.7064,True
KDR,ENSDARG00000017321,ENSDARP00000049203,48.7841,True
PPAT,ENSDARG00000004517,ENSDARP00000072847,75.0,True
GNRHR,ENSDARG00000100593,ENSDARP00000139905,35.5438,True
CXCL10,,,0.0,False
HPSE,ENSDARG00000063634,ENSDARP00000087587,49.6337,True
SPP1,,,0.0,False
ADH5,ENSDARG00000087262,ENSDARP00000117359,63.1579,True
PPP3CA,,,0.0,False
PDE5A,ENSDARG00000051915,ENSDARP00000114140,72.203,True
FGF2,,,0.0,False
IL15,ENSDARG00000007743,ENSDARP00000062665,16.0494,True
EDNRA,ENSDARG00000011876,ENSDARP00000002773,64.455,True
NR3C2,ENSDARG00000102082,ENSDARP00000130941,52.7835,True
TLR2,ENSDARG00000037758,ENSDARP00000055005,40.736,True
GRIA2,ENSDARG00000070173,ENSDARP00000093557,84.0,True
TLR3,ENSDARG00000070792,ENSDARP00000095023,21.8085,True
SLC6A3,ENSDARG00000004219,ENSDARP00000111850,74.8808,True
OSMR,ENSDARG00000039863,ENSDARP00000058305,21.6667,True
PTGER4,ENSDARG00000035415,ENSDARP00000088783,55.5332,True
GHR,ENSDARG00000026736,ENSDARP00000032045,14.6766,True
ITGA2,ENSDARG00000069390,ENSDARP00000119737,51.5748,True
IL31RA,,,0.0,False
MAP3K1,ENSDARG00000098405,ENSDARP00000136414,73.0135,True
HMGCR,ENSDARG00000052734,ENSDARP00000088231,77.9412,True
DHFR,ENSDARG00000004251,ENSDARP00000014124,59.4737,True
